paper_id,equation_id,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.12,1,ECE=\sum_{i=1}^{B}\frac{n_{b_{i}}}{N}|acc(b_{i})-conf(b_{i})|,"where \(i\) denotes \(i\)-th bin, \(N\) is the total instance count of the dataset, \(acc(b_{i})\) and \(conf(b_{i})\) represent the accuracy and confidence of the bin \(b_{i}\), and \(n_{b_{i}}\) is the instance number of the bin \(b_{i}\)",ECE=\sum_{m=1}^{M}\frac{|B_m|}{n}\left|acc(B_m)-conf(B_m)\right|,"Here $M$ is the number of confidence bins, $B_m$ is the set of samples in bin $m$, $n$ is the total number of samples, $\text{acc}(B_m)$ is the accuracy within bin $B_m$, and $\text{conf}(B_m)$ is the average predicted confidence in bin $B_m$."
2024.acl-short.12,2,"GECE=\frac{|M(pred,ref)-\frac{1}{n}\sum_{i=1}^{n}p(t_{i})|}{\alpha\cdot[E(\bigtriangledown_{ins})\cdot\bigtriangledown_{ins}]}","where \(pred\) and \(ref\) represent the generated text and the referenced ground truth, respectively",GECE=\sum_{i=1}^{B}\frac{n_{b_{i}}}{N}\left|METEOR(b_{i})-AvgProb(b_{i})\right|\cdot\left(\alpha\cdotAWF(b_i)+\beta\cdotAGD(b_i)\right),"where \(i\) denotes \(i\)-th bin, \(B\) is the total bin count, \(n_{b_i}\) is the instance count in bin \(b_i\), \(N\) is the total instance count, \(\text{METEOR}(b_i)\) and \(\text{AvgProb}(b_i)\) are the average METEOR score and average token probability in bin \(b_i\) respectively, \(\text{AWF}(b_i)\) is the average word frequency in bin \(b_i\), \(\text{AGD}(b_i)\) is the average of the dot product between the mean gradient of the dataset and the gradient of each instance in bin \(b_i\), and \(\alpha\), \(\beta\) are coefficients."
2024.acl-short.14,1,"P(cot,T|KG) || =P((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =\prod_{i=1}^{n}P((s_{i},t_{i})|(s_{1},t_{1}),\cdots,(s_{i-1},t_ {i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG) || =\prod_{i=1}^{n}P(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || \prod_{i=1}^{n}P(s_{i})|t_{i},(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG)",,"p(s |G)=\prod_{i=1}^{N} p(s_i | s_{<i},G)",The probability of generating the sequence of sentences $\mathbf{s}$ given the knowledge graph $\mathcal{G}$ is the product of the conditional probability of each sentence $s_i$ given the previous sentences $s_{<i}$ and $\mathcal{G}$.
2024.acl-short.14,2,"L_{seq}=-logP((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =-\sum_{i=1}^{n}logP(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}) || KG)-\sum_{i=1}^{n}logP(s_{i})|t_{i},(s_{1},t_{1 }),\cdots,(s_{i-1} || t_{i-1}),KG)-\sum_{i=1}^{n}logP(T|(s_{1},t_{1 }),\cdots,(s_{n} || t_{n}),KG)",,"L(\theta)=-\log P(cot, T\midKG;\theta)",The cross-entropy loss function for optimizing the model parameters \(\theta\).
2024.acl-short.14,3,"L_{re}=-\textbf{log}P(r|h,t,T) || =-\textbf{log}\prod_{i=1}^{m}P(r_{i}|r_{<i},h,t,T)",,"L_{backward}=-\sum_{j=1}^{M}\log P( A_j | h_j, t_j, T )","The backward relation extraction loss, where M is the number of sampled triples, A_j is the target answer text for the j-th triple, h_j and t_j are the head and tail entities of the j-th triple, and T is the generated text for the entire KG."
2024.acl-short.14,4,L=\alpha_{1}L_{seq}+\alpha_{2}L_{re},where \(\alpha_{1}\) and \(\alpha_{2}\) are parameters to tune,L_{total}=L_{seq}+L_{re},The total loss function combines the sequential sentence-level generation loss and the backward relation extraction loss.
2024.acl-short.15,1,"(o^{I},o^{S})=f(x)",where \(f(\cdot)\) is the joint model; \(\mathbf{o}^{I}\) and \(\mathbf{o}^{S}\) denotes an intent label and a slot sequence,"P(y^{intent},y^{slot}\midx)",The joint probability of the intent \(y^{\text{intent}}\) and slot sequence \(\mathbf{y}^{\text{slot}}\) given the input sentence \(\mathbf{x}\).
2024.acl-short.15,2,"\hat{Q}_{[i,j]}=norm(Q_{[i,j]})","where \(\mathrm{norm}(\cdot)\) denotes row normalization, which constrains the values to lie between 0 and 1","\hat{Q}=\arg\min_{Q\inU(a,b)}L_{C}","where \(\mathbf{\hat{Q}}\) is the optimal transport alignment matrix, \(\mathbf{U}(\mathbf{a}, \mathbf{b})\) is the set of coupling matrices with marginals \(\mathbf{a}\) and \(\mathbf{b}\), and \(\mathcal{L}_{\mathbf{C}}\) is the transport cost."
2024.acl-short.15,3,"L_{RLA}=-\sum_{[i,j]}\hat{Q}_{[i,j]}\log(\sigma(1-C_{[i,j]}))","where \(\sigma\) denotes the sigmoid function, and \(1-\mathbf{C}_{[i,j]}\) denotes the cosine similarity between \(\mathbf{h}_{i}\) and \(\mathbf{h}^{\prime}_{j}\)","L_{align}=\sum_{i=1}^{n}\sum_{j=1}^{m}\hat{Q}_{[i,j]}\cdot\left(1-\frac{h_i^\toph^{\prime}_j}{\|h_i\|\|h^{\prime}_j\|}\right)","\(\mathcal{L}_{\text{align}}\) is the representation alignment loss, computed as the weighted sum of cosine distances between original and code-switched token representations using the alignment matrix \(\hat{\mathbf{Q}}\) as weights."
2024.acl-short.15,4,P^{I}_{x}=softmax(W^{I}h_{CLS}+b^{I}) || P^{I}_{x^{\prime}}=softmax(W^{I}h^{\prime}_{CLS}+b^{I}),,"o^{I}=decoder^{I}(h_{CLS}),\quado^{\prime I}=decoder^{I}(h^{\prime}_{CLS})","\(\mathbf{o}^{I}\) and \(\mathbf{o}^{\prime I}\) are the intent predictions for the original sentence and the code-switched sentence, respectively."
