paper_id,equation_id,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.12,1,ECE=\sum_{i=1}^{B}\frac{n_{b_{i}}}{N}|acc(b_{i})-conf(b_{i})|,"where \(i\) denotes \(i\)-th bin, \(N\) is the total instance count of the dataset, \(acc(b_{i})\) and \(conf(b_{i})\) represent the accuracy and confidence of the bin \(b_{i}\), and \(n_{b_{i}}\) is the instance number of the bin \(b_{i}\)",ECE=\sum_{m=1}^{M}\frac{|B_m|}{n}\left|acc(B_m)-conf(B_m)\right|,"ECE is computed as the weighted average of the absolute difference between accuracy and confidence across M bins, where $|B_m|$ is the number of samples in bin $m$, $n$ is the total number of samples, $\mathrm{acc}(B_m)$ is the accuracy in bin $m$, and $\mathrm{conf}(B_m)$ is the average confidence in bin $m$."
2024.acl-short.12,2,"GECE=\frac{|M(pred,ref)-\frac{1}{n}\sum_{i=1}^{n}p(t_{i})|}{\alpha\cdot[E(\bigtriangledown_{ins})\cdot\bigtriangledown_{ins}]}","where \(pred\) and \(ref\) represent the generated text and the referenced ground truth, respectively",GECE=\frac{1}{B}\sum_{b=1}^{B}\left|METEOR(b)-Conf(b)\right|\cdotFreq(b)\cdotGradSim(b),"GECE is computed as the average, over all bins, of the absolute difference between METEOR and confidence, weighted by average word frequency and gradient similarity for each bin."
2024.acl-short.14,1,"P(cot,T|KG) || =P((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =\prod_{i=1}^{n}P((s_{i},t_{i})|(s_{1},t_{1}),\cdots,(s_{i-1},t_ {i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG) || =\prod_{i=1}^{n}P(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || \prod_{i=1}^{n}P(s_{i})|t_{i},(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG)",,"P(Y|G)=\prod_{i=1}^{N} P(y_i | y_{<i}, G)",The probability of generating the full text $Y$ given the knowledge graph $G$ is decomposed into the product of probabilities of generating each sentence $y_i$ conditioned on the previously generated sentences and the graph.
2024.acl-short.14,2,"L_{seq}=-logP((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =-\sum_{i=1}^{n}logP(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}) || KG)-\sum_{i=1}^{n}logP(s_{i})|t_{i},(s_{1},t_{1 }),\cdots,(s_{i-1} || t_{i-1}),KG)-\sum_{i=1}^{n}logP(T|(s_{1},t_{1 }),\cdots,(s_{n} || t_{n}),KG)",,"L=-\sum_{i=1}^{n}\log P((s_{i}, t_{i}) | (s_{1}, t_{1}),\ldots, (s_{i-1}, t_{i-1}),KG)-\log P(T | (s_{1}, t_{1}),\ldots, (s_{n}, t_{n}),KG)",The cross-entropy loss \(\mathcal{L}\) sums the negative log-likelihoods of the sentence-triple pairs and the overall text given the knowledge graph.
2024.acl-short.14,3,"L_{re}=-\textbf{log}P(r|h,t,T) || =-\textbf{log}\prod_{i=1}^{m}P(r_{i}|r_{<i},h,t,T)",,"L_{rel}=-\sum_{j=1}^{m}\log P(r_j | h_j, t_j, T)","The relation extraction loss \(L_{rel}\) is defined as the negative log-likelihood of predicting the correct relation \(r_j\) given the head entity \(h_j\), tail entity \(t_j\), and the generated text \(T\), summed over all \(m\) sampled triples."
2024.acl-short.14,4,L=\alpha_{1}L_{seq}+\alpha_{2}L_{re},where \(\alpha_{1}\) and \(\alpha_{2}\) are parameters to tune,L=L_{seq}+\lambda L_{re},"The total loss \(L\) is the sum of the sequential sentence-level generation loss \(L_{seq}\) and the backward relation extraction loss \(L_{re}\), weighted by a hyperparameter \(\lambda\)."
2024.acl-short.15,1,"(o^{I},o^{S})=f(x)",where \(f(\cdot)\) is the joint model; \(\mathbf{o}^{I}\) and \(\mathbf{o}^{S}\) denotes an intent label and a slot sequence,P(y|x;\theta),The joint probability of output labels \(\mathbf{y}\) given input sentence \(\mathbf{x}\) and model parameters \(\theta\).
2024.acl-short.15,2,"\hat{Q}_{[i,j]}=norm(Q_{[i,j]})","where \(\mathrm{norm}(\cdot)\) denotes row normalization, which constrains the values to lie between 0 and 1",\hat{Q}=IPOT(C),The final alignment matrix \(\mathbf{\hat{Q}}\) is computed by applying the IPOT algorithm to the cost matrix \(\mathbf{C}\).
2024.acl-short.15,3,"L_{RLA}=-\sum_{[i,j]}\hat{Q}_{[i,j]}\log(\sigma(1-C_{[i,j]}))","where \(\sigma\) denotes the sigmoid function, and \(1-\mathbf{C}_{[i,j]}\) denotes the cosine similarity between \(\mathbf{h}_{i}\) and \(\mathbf{h}^{\prime}_{j}\)","L_{align}=\sum_{i=1}^{L}\sum_{j=1}^{L}\hat{Q}_{[i,j]}\cdot\|h_i-h'_j\|_2^2","where \(\mathcal{L}_{\text{align}}\) is the representation-level alignment loss, \(\hat{\mathbf{Q}}_{[i,j]}\) is the normalized alignment score between token representations \(\mathbf{h}_i\) and \(\mathbf{h}'_j\), and \(\|\cdot\|_2^2\) denotes squared Euclidean distance."
2024.acl-short.15,4,P^{I}_{x}=softmax(W^{I}h_{CLS}+b^{I}) || P^{I}_{x^{\prime}}=softmax(W^{I}h^{\prime}_{CLS}+b^{I}),,"o^{I}=decoder^{I}(h_{CLS}),\quado^{I\prime}=decoder^{I}(h^{\prime}_{CLS})","where \(\mathrm{decoder}^{I}\) is the intent classification layer, and \(\mathbf{o}^{I}\), \(\mathbf{o}^{I\prime}\) are the predicted intent logits for the original and code-switched sentences, respectively."
2024.acl-short.15,5,P^{S}_{x}=softmax(W^{S}h_{[1:-1]}+b^{ S}) || P^{S}_{x^{\prime}}=softmax(W^{S}h^{\prime}_{[1:-1]}+b^{S}),,P^{S}_{x}=softmax(W^{S}h_{[1:-1]}+b^{S}),"where \(\mathbf{P}^{S}_{\mathbf{x}}\) denotes the slot label probability distributions for each token in \(\mathbf{x}\), and \(\mathbf{W}^{S}\), \(\mathbf{b}^{S}\) are the slot filling decoder parameters."
2024.acl-short.15,6,"L_{I}=CE(P^{I}_{x},P^{I}) || L_{S}=\frac{1}{L}\sum_{i=1}^{L}CE(P^{S}_{[x,i]},P^{S}_{i})",,"L_{I}=-\sum_{k} y^{I}_{k}\logP^{I}_{x,k},\quadL_{S}=-\sum_{t}\sum_{k} y^{S}_{t,k}\logP^{S}_{x,t,k}","where \(y^{I}_{k}\) and \(y^{S}_{t,k}\) are the one-hot ground truth labels for intent and slot at position \(t\), respectively, and \(\mathbf{P}^{I}_{\mathbf{x},k}\), \(\mathbf{P}^{S}_{\mathbf{x},t,k}\) are the predicted probabilities."
2024.acl-short.15,7,L_{PLA}=\underbrace{KL(P^{I}_{x^{\prime}} || P^{I}_{x})}_{Intent PLA}+\underbrace{KL(P^{S}_{x^{\prime}} || P^{S}_{x}) }_{Slot PLA},"where \(\mathrm{KL}(\cdot)\) denotes Kullback-Leibler divergence (Kullback and Leibler, 1951) to measure the difference between two distributions","L_{PLA}=KL(P^{I}_{x}\parallelP^{I}_{x^{\prime}})+\frac{1}{L}\sum_{i=1}^{L}KL(P^{S}_{[x,i]}\parallelP^{S}_{[x^{\prime},i]})",The prediction-level alignment loss \(\mathcal{L}_{\text{PLA}}\) is the sum of KL divergences between the intent and slot distributions of the original and code-switched sentences.
2024.acl-short.15,8,"L_{SD}=\underbrace{KL(P^{[I,t-1]}_{ kT} || P^{[I,t]}_{latent SD})}_{Intent SD}+\underbrace{\frac{1}{L}\sum_{i=1}^{L}KL(P^{[S,t-1]}_{[x,i]} || P^{[S,t]}_{[x,i]}) }_{Slot SD}","where \(\mathbf{P}^{[I,t]}_{\mathbf{x}}\) denotes the probability distribution of intent, \(\mathbf{P}^{[S,t]}_{[\mathbf{x},i]}\) of slot at \(i\)-th token","L_{SD}=\underbrace{KL(P^{t-1, I}_{x}\|P^{t, I}_{x})}_{Intent SD}+\underbrace{KL(P^{t-1, S}_{x}\|P^{t, S}_{x})}_{Slot SD}","where \(\mathbf{P}^{t, I}_{\mathbf{x}}\) and \(\mathbf{P}^{t, S}_{\mathbf{x}}\) denote the intent and slot probability distributions at epoch \(t\), respectively."
2024.acl-short.15,9,L=L_{I}+L_{S}+L_{RLA}+L _{PLA}+L_{SD},,L=L_{I}+L_{S}+\lambda_{1}L_{RLA}+\lambda_{2}L_{PLA}+\lambda_{3}L_{SD},"The total loss \(\mathcal{L}\) is a weighted sum of the intent loss, slot loss, representation-level alignment loss, prediction-level alignment loss, and self-distillation loss, with hyperparameters \(\lambda_{1}, \lambda_{2}, \lambda_{3}\) controlling the contributions of the alignment and distillation terms."
2024.acl-short.16,1,Y=W_{0}^{l}X+\Lambda_{b}^{l}B^{l}\Lambda_{d}^{l}A^{l}X,,Y^{(l)}=lora_{B}^{(l)}\left( s_{d}^{(l)}\odot\left( lora_{A}^{(l)} X^{(l)}\right)\right)+s_{b}^{(l)},"\(Y^{(l)}\) is the output of the LoRA module at layer \(l\), computed by applying the down-projection \(lora_{A}^{(l)}\), elementwise scaling \(s_{d}^{(l)}\), up-projection \(lora_{B}^{(l)}\), and bias \(s_{b}^{(l)}\) to the input \(X^{(l)}\)."
2024.acl-short.16,2,"I_{A^{l}}=|\nablaL(\theta)|,\overline{T}^{(t)}_{A^{l }}=\beta_{1}\overline{T}^{(t-1)}_{A^{l}}+(1-\beta_{1})I^{(t)}_{A^{l}} || U^{(t)}_{A^{l}}=|I^{(t)}_{A^{l}}-\overline{I}^{(t)}_{A^{l}}|,\overline{U}^{(t)}_{A^{l}}=\beta_{2}\overline{U}^{(t-1)}_{A^{l}}+(1-\beta_{2} )U^{(t)}_{A^{l}} || s^{(t)}_{A^{l}}=mean(\overline{T}^{(t)}_{A^{l}}\circ\overline{U}^{(t)}_{A^{l}})",,S_{A^{l}}=E_{t}\left[\left\|\nabla_{A^{l}}L(t)\right\|_{F}\right],"\(S_{A^{l}}\) denotes the freezing score for the low-rank tensor \(A^{l}\), computed as the expected Frobenius norm of its gradient over training steps \(t\)."
2024.acl-short.16,3,r(t)=\{{ll}0&0\leq t<t_{i}\\1-(1-\frac{t-t_{i}}{T-t_{i}-t_{f}})^{3}&t_{i}\leq t<T-t_{f}\\1&otherwise,"where \(t\) refers to current #step, \(T\) is the total number of fine-tuning steps","r(t)=0, & t < t_{i}\\\left(\frac{t-t_{i}}{T-t_{i}-t_{f}}\right)^{3}, & t_{i}\leq t < T-t_{f}\\1, & t\geq T-t_{f}","$r(t)$ denotes the fraction of projection matrices to freeze at training step $t$ following a cubic schedule, where $t_{i}$ is the initial step, $T$ is the total number of steps, and $t_{f}$ is the number of final steps during which all matrices are frozen."
2024.acl-short.20,1,"E(h,r,t)=\sum_{i=1}^{k}w_{i}(q)M_{i}(h,r,t)","where \(\mathtt{E}(\mathtt{h},\mathbf{r},\mathbf{t})\) is the ensemble score for \(\mathbf{t}\) given query \(\mathtt{q}=(\mathbf{h},\mathbf{r},?)\)","E(h,r,t)=\sum_{i=1}^{k} w_iM_i(h,r,t)","The ensemble score for a candidate tail \(\mathbf{t}\) is a weighted sum of the scores assigned by each model \(\mathtt{M}_i\), with weights \(w_i\)."
2024.acl-short.20,2,"M_{i}(h,r,t)\getsM_ {i}(h,r,t)-\min_{t^{\prime}\inE}M_{i}(h,r,t^{\prime}) || M_{i}(h,r,t)arrow\frac{M_{i}(h,r,t)}{\max_{t^{\prime}\inE}M_{i}(h,r,t^{\prime})}",,"\hat{M}_{i}(h,r,t)=\frac{M_{i}(h,r,t)-\min_{t'\inE}M_{i}(h,r,t')} {\max_{t'\inE}M_{i}(h,r,t')}-\min_{t'\inE}M_{i}(h,r,t')}","where \(\hat{\mathtt{M}}_{\mathtt{i}}(\mathbf{h},\mathbf{r},\mathbf{t})\) is the max-min normalized score for candidate tail \(\mathbf{t}\) from model \(\mathtt{M}_{\mathtt{i}}\) for query \((\mathbf{h},\mathbf{r},?)\)."
2024.acl-short.20,3,"f(M_{i},q)=\underset{t^{\prime}\inE}{mean}(M_{i}(h,r,t^{\prime})) || \underset{t^{\prime}\inE}{ var}(M_{i}(h,r,t^{\prime}))",,"f_{i}(q)=\left[\max_{t\inE}M_{i}(h,r,t),\;\min_{t\inE}M_{i}(h,r,t),\;mean_{t\inE}M_{i}(h,r,t),\;std_{t\inE}M_{i}(h,r,t)\right]","\(\mathbf{f}_{\mathtt{i}}(\mathtt{q})\) is the feature vector for model \(\mathtt{M}_{\mathtt{i}}\) on query \(\mathtt{q}\), consisting of the max, min, mean, and standard deviation of its normalized scores over all candidate tails."
2024.acl-short.20,4,"w_{1}(q)=MLP_{1}(f(M_{1},q) || f(M_{2},q) ||  || f(M_ {k},q))",,"w_{i}(q)=MLP_{i}\left(f(M_{1},q)\ || \,f(M_{2},q)\ || \,\ldots\ || \,f(M_{k},q)\right)",The query-dependent ensemble weight for model \(\mathtt{M}_{\mathtt{i}}\) is computed by passing the concatenated feature vectors from all models through a model-specific MLP.
2024.acl-short.20,5,"L=\sum_{t\inN}\max(E(h,r,t)-E(h,r,t^{*})+m,0)",where \(\mathtt{m}\) is the margin hyperparameter,"L(q)=\sum_{t^{-}\inN}\max\left(0,\gamma-E(h,r,t^{*})+E(h,r,t^{-})\right)","where \(\mathcal{L}(\mathtt{q})\) is the margin-based loss for query \(\mathtt{q}\), \(\gamma\) is the margin, \(\mathbf{t}^{*}\) is the gold entity, and \(\mathtt{N}\) is the set of negative samples."
