paper_id,equation_id,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.12,1,ECE=\sum_{i=1}^{B}\frac{n_{b_{i}}}{N}|acc(b_{i})-conf(b_{i})|,"where \(i\) denotes \(i\)-th bin, \(N\) is the total instance count of the dataset, \(acc(b_{i})\) and \(conf(b_{i})\) represent the accuracy and confidence of the bin \(b_{i}\), and \(n_{b_{i}}\) is the instance number of the bin \(b_{i}\)",ECE=\sum_{i=1}^{N}\frac{n_{b_{i}}}{N}\left| acc(b_{i})-conf(b_{i})\right|,"where \(i\) denotes \(i\)-th bin, \(N\) is the total instance count of the dataset, \(acc(b_{i})\) and \(conf(b_{i})\) represent the accuracy and confidence of the bin \(b_{i}\), and \(n_{b_{i}}\) is the instance number of the bin \(b_{i}\)"
2024.acl-short.12,2,"GECE=\frac{|M(pred,ref)-\frac{1}{n}\sum_{i=1}^{n}p(t_{i})|}{\alpha\cdot[E(\bigtriangledown_{ins})\cdot\bigtriangledown_{ins}]}","where \(pred\) and \(ref\) represent the generated text and the referenced ground truth, respectively","GECE=\frac{1}{B}\sum_{i=1}^{B}\left(METEOR(pred_i, ref_i)+avg\_prob(pred_i)+avg\_freq(pred_i)+dot\_prod(\nabla D,\nabla pred_i)\right)","where \(pred\) and \(ref\) represent the generated text and the referenced ground truth, respectively"
2024.acl-short.14,1,"P(cot,T|KG) || =P((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =\prod_{i=1}^{n}P((s_{i},t_{i})|(s_{1},t_{1}),\cdots,(s_{i-1},t_ {i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG) || =\prod_{i=1}^{n}P(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || \prod_{i=1}^{n}P(s_{i})|t_{i},(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG)",,"y_t=f(x_t, h_{t-1})","y_t: the generated word at time t, x_t: the input at time t, h_{t-1}: the hidden state from the previous time step"
2024.acl-short.14,2,"L_{seq}=-logP((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =-\sum_{i=1}^{n}logP(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}) || KG)-\sum_{i=1}^{n}logP(s_{i})|t_{i},(s_{1},t_{1 }),\cdots,(s_{i-1} || t_{i-1}),KG)-\sum_{i=1}^{n}logP(T|(s_{1},t_{1 }),\cdots,(s_{n} || t_{n}),KG)",,"L=-\frac{1}{N}\sum_{i=1}^{N}\log P(s_{i}|t_{i},KG)","where \(L\) is the cross-entropy loss, \(N\) is the number of sentences, \(s_{i}\) is the \(i\)-th generated sentence, \(t_{i}\) is the corresponding triplet subset, and \(\mathbf{KG}\) is the knowledge graph."
2024.acl-short.14,3,"L_{re}=-\textbf{log}P(r|h,t,T) || =-\textbf{log}\prod_{i=1}^{m}P(r_{i}|r_{<i},h,t,T)",,"L_{rel}=-\sum_{j=1}^{m}logP(r_{j}|h_{j},t_{j},T)\","The backward relation extraction loss function, where \(L_{rel}\) is the loss, \(m\) is the number of sampled triples, \(r_{j}\) is the relation for the \(j\)-th triple, \(h_{j}\) is the head entity, \(t_{j}\) is the tail entity, and \(T\) is the generated text."
2024.acl-short.14,4,L=\alpha_{1}L_{seq}+\alpha_{2}L_{re},where \(\alpha_{1}\) and \(\alpha_{2}\) are parameters to tune,L=\alpha_{1} L_{seq}+\alpha_{2} L_{re},"where \(L\) is the joint loss, \(L_{seq}\) is the sequential sentence-level generation loss, \(L_{re}\) is the backward relation extraction loss, and \(\alpha_{1}\) and \(\alpha_{2}\) are parameters to tune."
2024.acl-short.15,1,"(o^{I},o^{S})=f(x)",where \(f(\cdot)\) is the joint model; \(\mathbf{o}^{I}\) and \(\mathbf{o}^{S}\) denotes an intent label and a slot sequence,"f(x)=(o^{I},o^{S})",where \(f(\cdot)\) is the joint model; \(\mathbf{o}^{I}\) and \(\mathbf{o}^{S}\) denotes an intent label and a slot sequence
2024.acl-short.15,2,"\hat{Q}_{[i,j]}=norm(Q_{[i,j]})","where \(\mathrm{norm}(\cdot)\) denotes row normalization, which constrains the values to lie between 0 and 1",\hat{Q}=norm(Q),"where \(\mathrm{norm}(\cdot)\) denotes row normalization, which constrains the values to lie between 0 and 1"
2024.acl-short.15,3,"L_{RLA}=-\sum_{[i,j]}\hat{Q}_{[i,j]}\log(\sigma(1-C_{[i,j]}))","where \(\sigma\) denotes the sigmoid function, and \(1-\mathbf{C}_{[i,j]}\) denotes the cosine similarity between \(\mathbf{h}_{i}\) and \(\mathbf{h}^{\prime}_{j}\)","L_{align}=\sum_{[i,j]}\sigma(\hat{Q}_{[i,j]})(1-C_{[i,j]})","where \(\sigma\) denotes the sigmoid function, and \(1-\mathbf{C}_{[i,j]}\) denotes the cosine similarity between \(\mathbf{h}_{i}\) and \(\mathbf{h}^{\prime}_{j}\)"
2024.acl-short.15,4,P^{I}_{x}=softmax(W^{I}h_{CLS}+b^{I}) || P^{I}_{x^{\prime}}=softmax(W^{I}h^{\prime}_{CLS}+b^{I}),,"o^{I}=decoder^{I}(h_{CLS},h^{\prime}_{CLS})","where \(\mathbf{o}^{I}\) is the predicted intent label, and \(\text{decoder}^{I}\) is the classification layer for intent detection."
