paper_id,equation_id,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.12,1,ECE=\sum_{i=1}^{B}\frac{n_{b_{i}}}{N}|acc(b_{i})-conf(b_{i})|,"where \(i\) denotes \(i\)-th bin, \(N\) is the total instance count of the dataset, \(acc(b_{i})\) and \(conf(b_{i})\) represent the accuracy and confidence of the bin \(b_{i}\), and \(n_{b_{i}}\) is the instance number of the bin \(b_{i}\)",ECE=\sum_{i=1}^n\frac{|B_i|}{n} |acc(B_i)-conf(B_i)|,The Expected Calibration Error (ECE) measures the difference between a model's estimated probabilities and true probabilities.
2024.acl-short.12,2,"GECE=\frac{|M(pred,ref)-\frac{1}{n}\sum_{i=1}^{n}p(t_{i})|}{\alpha\cdot[E(\bigtriangledown_{ins})\cdot\bigtriangledown_{ins}]}","where \(pred\) and \(ref\) represent the generated text and the referenced ground truth, respectively",GECE=\frac{1}{B}\sum_{b=1}^{B}\left|\frac{\sum_{i=1}^{n_b} (p_i-\hat{p_i})}{n_b}\right|\cdot\frac{1}{n_b}\sum_{i=1}^{n_b} (METEOR(i)+\alpha\cdot wf(i)+\beta\cdot dp(i)),"The GECE metric combines the expected calibration error with METEOR score, average word frequency, and dot product of gradients to detect long-tailness in text generation."
2024.acl-short.14,1,"P(cot,T|KG) || =P((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =\prod_{i=1}^{n}P((s_{i},t_{i})|(s_{1},t_{1}),\cdots,(s_{i-1},t_ {i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG) || =\prod_{i=1}^{n}P(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || \prod_{i=1}^{n}P(s_{i})|t_{i},(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG)",,p(y |G)=\prod_{i=1}^{N} p(y_i |G_i),"The probability of generating a text $\mathbf{y}$ given a knowledge graph $\mathbf{G}$, where $\mathbf{y}_i$ is the $i$-th sentence and $\mathbf{G}_i$ is the subset of triples corresponding to the $i$-th sentence."
2024.acl-short.14,2,"L_{seq}=-logP((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =-\sum_{i=1}^{n}logP(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}) || KG)-\sum_{i=1}^{n}logP(s_{i})|t_{i},(s_{1},t_{1 }),\cdots,(s_{i-1} || t_{i-1}),KG)-\sum_{i=1}^{n}logP(T|(s_{1},t_{1 }),\cdots,(s_{n} || t_{n}),KG)",,"L=-\sum_{i=1}^{n}\log P(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)-\sum_{i=1}^{n}\log P(s_{i}|t_{i},(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)-\log P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG)",The cross-entropy loss function L is used to optimize the model by minimizing the difference between predicted and actual probabilities.
2024.acl-short.14,3,"L_{re}=-\textbf{log}P(r|h,t,T) || =-\textbf{log}\prod_{i=1}^{m}P(r_{i}|r_{<i},h,t,T)",,"L_{rel}=-\sum_{i=1}^{m}logP(r_{i}|h_{i},t_{i},KG)","The variable \(r_{i}\) represents the relation between the head entity \(h_{i}\) and the tail entity \(t_{i}\) in the \(i\)-th triple, and \(m\) is the number of sampled triples."
2024.acl-short.14,4,L=\alpha_{1}L_{seq}+\alpha_{2}L_{re},where \(\alpha_{1}\) and \(\alpha_{2}\) are parameters to tune,L=L_{seq}+\alpha L_{re},"The total loss L is the sum of the sequential sentence-level generation loss and the backward relation extraction loss, where α is a hyperparameter that controls the weight of the backward relation extraction loss."
2024.acl-short.15,1,"(o^{I},o^{S})=f(x)",where \(f(\cdot)\) is the joint model; \(\mathbf{o}^{I}\) and \(\mathbf{o}^{S}\) denotes an intent label and a slot sequence,"x=(x_1, x_2, ..., x_n)",\( \mathbf{x} \) represents the input sentence in the target language.
2024.acl-short.15,2,"\hat{Q}_{[i,j]}=norm(Q_{[i,j]})","where \(\mathrm{norm}(\cdot)\) denotes row normalization, which constrains the values to lie between 0 and 1","L_{C}=\sum_{[i,j]}C_{[i,j]}Q_{[i,j]}","where \(\mathcal{L}_{\mathbf{C}}\) represents the loss function for optimal transport, \(\mathbf{C}\) is the transport cost matrix, and \(\mathbf{Q}\) is the alignment matrix."
2024.acl-short.15,3,"L_{RLA}=-\sum_{[i,j]}\hat{Q}_{[i,j]}\log(\sigma(1-C_{[i,j]}))","where \(\sigma\) denotes the sigmoid function, and \(1-\mathbf{C}_{[i,j]}\) denotes the cosine similarity between \(\mathbf{h}_{i}\) and \(\mathbf{h}^{\prime}_{j}\)","L_{align}=\sum_{i,j}\hat{Q}_{[i,j]}\cdot\left\lVerth_i-h'_j\right\rVert_2^2",where \(\left\lVert \mathbf{h}_i - \mathbf{h}'_j \right\rVert_2^2\) denotes the squared Euclidean distance between the representations of the original and code-switched sentences.
2024.acl-short.15,4,P^{I}_{x}=softmax(W^{I}h_{CLS}+b^{I}) || P^{I}_{x^{\prime}}=softmax(W^{I}h^{\prime}_{CLS}+b^{I}),,o^{I}=decoder^{I}(h_{CLS}),where \(\mathbf{o}^{I}\) denotes the predicted intent label.
2024.acl-short.15,5,P^{S}_{x}=softmax(W^{S}h_{[1:-1]}+b^{ S}) || P^{S}_{x^{\prime}}=softmax(W^{S}h^{\prime}_{[1:-1]}+b^{S}),,P^{S}_{x}=softmax(W^{S}h_{[1:-1]}+ b^{S}),where \(\mathbf{W}^{S}\) and \(\mathbf{b}^{S}\) are learnable parameters for the slot filling task.
2024.acl-short.15,6,"L_{I}=CE(P^{I}_{x},P^{I}) || L_{S}=\frac{1}{L}\sum_{i=1}^{L}CE(P^{S}_{[x,i]},P^{S}_{i})",,L_{I}=-\sum_{x\inD}y^{I}_{x}\logP^{I}_{x},"where \(\mathbf{y}^{I}_{\mathbf{x}}\) and \(\mathbf{y}^{S}_{\mathbf{x},t}\) denote the ground truth intent label and slot label at position \(t\), respectively."
2024.acl-short.15,7,L_{PLA}=\underbrace{KL(P^{I}_{x^{\prime}} || P^{I}_{x})}_{Intent PLA}+\underbrace{KL(P^{S}_{x^{\prime}} || P^{S}_{x}) }_{Slot PLA},"where \(\mathrm{KL}(\cdot)\) denotes Kullback-Leibler divergence (Kullback and Leibler, 1951) to measure the difference between two distributions",L_{PLA}^{I}=KL(P^{I}_{x} || P^{I}_{x^{\prime}})+KL(P^{I}_{x^{\prime}} || P^{I}_{x}),"where \(\mathrm{KL}(\cdot || \cdot)\) denotes the Kullback-Leibler divergence, measuring the difference between two probability distributions."
