paper_id,equation_id,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.12,1,ECE=\sum_{i=1}^{B}\frac{n_{b_{i}}}{N}|acc(b_{i})-conf(b_{i})|,"where \(i\) denotes \(i\)-th bin, \(N\) is the total instance count of the dataset, \(acc(b_{i})\) and \(conf(b_{i})\) represent the accuracy and confidence of the bin \(b_{i}\), and \(n_{b_{i}}\) is the instance number of the bin \(b_{i}\)",ECE=\sum_{k=1}^{K}\frac{|B_k|}{N}\left|acc(B_k)-conf(B_k)\right|,"ECE is calculated by dividing instances into K bins based on confidence intervals, where each bin B_k contains instances with similar confidence levels, and computes the weighted average of the absolute difference between accuracy and confidence within each bin."
2024.acl-short.12,2,"GECE=\frac{|M(pred,ref)-\frac{1}{n}\sum_{i=1}^{n}p(t_{i})|}{\alpha\cdot[E(\bigtriangledown_{ins})\cdot\bigtriangledown_{ins}]}","where \(pred\) and \(ref\) represent the generated text and the referenced ground truth, respectively","GECE=\sum_{i=1}^{B}\frac{n_{b_i}}{N}\left|METEOR(y_{pred}, y_{true})-AvgProb(y_{pred})+\lambda_1\cdotAvgFreq(x)+\lambda_2\cdot\nabla(x)\cdot\nabla_{mean}\right|","where $ \text{METEOR}(y_{\text{pred}}, y_{\text{true}}) $ measures coherence and relevance between predicted and ground truth texts, $ \text{AvgProb}(y_{\text{pred}}) $ is the average token probability of the prediction, $ \text{AvgFreq}(x) $ is the average word frequency in input $ x $, $ \nabla(x) \cdot \nabla_{\text{mean}} $ evaluates the gradient discrepancy, and $ \lambda_1, \lambda_2 $ are weighting coefficients."
2024.acl-short.14,1,"P(cot,T|KG) || =P((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =\prod_{i=1}^{n}P((s_{i},t_{i})|(s_{1},t_{1}),\cdots,(s_{i-1},t_ {i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG) || =\prod_{i=1}^{n}P(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || \prod_{i=1}^{n}P(s_{i})|t_{i},(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}),KG)\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),KG)",,"P(Y|X)=\prod_{t=1}^{T} P(y_t | X, y_{<t})","Equation 1 defines the probability of generating the full text $ Y $ given the input KG $ X $, decomposed as a product of conditional probabilities for each sentence $ y_t $ given $ X $ and the previously generated sentences $ y_{<t} $."
2024.acl-short.14,2,"L_{seq}=-logP((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|KG) || =-\sum_{i=1}^{n}logP(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}) || KG)-\sum_{i=1}^{n}logP(s_{i})|t_{i},(s_{1},t_{1 }),\cdots,(s_{i-1} || t_{i-1}),KG)-\sum_{i=1}^{n}logP(T|(s_{1},t_{1 }),\cdots,(s_{n} || t_{n}),KG)",,"L=-\sum_{i=1}^{n}\log P(t_i |KG,prefix_i)-\sum_{i=1}^{n}\log P(s_i | t_i,KG,prefix_i)","The loss function combines the negative log-likelihoods of predicting each sentence-specific triplet subset and the corresponding sentence, conditioned on the knowledge graph and previously generated context."
2024.acl-short.14,3,"L_{re}=-\textbf{log}P(r|h,t,T) || =-\textbf{log}\prod_{i=1}^{m}P(r_{i}|r_{<i},h,t,T)",,"L_{b}=-\sum_{(h,r,t)\inKG}logP(r|h,t,T)","The backward relation extraction loss function, which encourages the model to correctly infer relations between head and tail entities given the generated text."
2024.acl-short.14,4,L=\alpha_{1}L_{seq}+\alpha_{2}L_{re},where \(\alpha_{1}\) and \(\alpha_{2}\) are parameters to tune,L_{total}=L_{seq}+\lambda L_{re},Total loss combining sequential generation and relation extraction objectives
2024.acl-short.15,1,"(o^{I},o^{S})=f(x)",where \(f(\cdot)\) is the joint model; \(\mathbf{o}^{I}\) and \(\mathbf{o}^{S}\) denotes an intent label and a slot sequence,y=f_{\theta}(x),"Equation 1 defines the joint SLU model $f_{\theta}$ that maps an input sentence $\mathbf{x}$ to the output $\mathbf{y}$, representing intent and slot labels, in zero-shot cross-lingual settings."
2024.acl-short.15,2,"\hat{Q}_{[i,j]}=norm(Q_{[i,j]})","where \(\mathrm{norm}(\cdot)\) denotes row normalization, which constrains the values to lie between 0 and 1","\hat{Q}=\mathop{argmin}\limits_{Q\in\Pi(h,h^{\prime})}\sum_{i,j}C_{[i,j]}Q_{[i,j]}","where $\Pi(\mathbf{h}, \mathbf{h}^{\prime})$ denotes the set of all possible transport plans between the representations $\mathbf{h}$ and $\mathbf{h}^{\prime}$, and $\mathbf{\hat{Q}}$ is the optimal alignment matrix obtained via IPOT."
2024.acl-short.15,3,"L_{RLA}=-\sum_{[i,j]}\hat{Q}_{[i,j]}\log(\sigma(1-C_{[i,j]}))","where \(\sigma\) denotes the sigmoid function, and \(1-\mathbf{C}_{[i,j]}\) denotes the cosine similarity between \(\mathbf{h}_{i}\) and \(\mathbf{h}^{\prime}_{j}\)","L_{align}=-\sum_{i,j}\hat{Q}_{[i,j]}\log\hat{Q}_{[i,j]}",the training loss for representation-level alignment using the alignment matrix $\mathbf{\hat{Q}}$ as weak supervision
2024.acl-short.15,4,P^{I}_{x}=softmax(W^{I}h_{CLS}+b^{I}) || P^{I}_{x^{\prime}}=softmax(W^{I}h^{\prime}_{CLS}+b^{I}),,p^{I}=softmax(decoder^{I}(h_{CLS})),where $\mathbf{p}^{I}$ denotes the predicted intent probability distribution for the original sentence
2024.acl-short.15,5,P^{S}_{x}=softmax(W^{S}h_{[1:-1]}+b^{ S}) || P^{S}_{x^{\prime}}=softmax(W^{S}h^{\prime}_{[1:-1]}+b^{S}),,P^{S}_{x}=softmax(W^{S}h_{[1:-1]}+b^{S}),where $\mathbf{P}^{S}_{\mathbf{x}}$ denotes the predicted slot sequence probabilities for the original sentence $\mathbf{x}$
2024.acl-short.15,6,"L_{I}=CE(P^{I}_{x},P^{I}) || L_{S}=\frac{1}{L}\sum_{i=1}^{L}CE(P^{S}_{[x,i]},P^{S}_{i})",,L_{I}=-\logP^{I}_{x}(y^{I}),where $y^{I}$ is the ground truth intent label for the original sentence $\mathbf{x}$
