paper_id,equation_id,context,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.14,1,"### Forward Sentence-Level Generation

In this part, we decompose the generation of the text to describe the full KG into a sequential decoding problem: the model sequentially generate a semantically complete sentence with the sentence-specific subset of KG triples. Then the model generates the full text of KG based on the triples and the sentence-level generation. The generation process can be formulated as follows:","P(\mathbf{cot},T|\mathbf{KG}) || =P((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|\mathbf{KG}) || =\prod_{i=1}^{n}P((s_{i},t_{i})|(s_{1},t_{1}),\cdots,(s_{i-1},t_ {i-1}),\mathbf{KG})\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),\mathbf{KG}) || =\prod_{i=1}^{n}P(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}), \mathbf{KG})\cdot || \prod_{i=1}^{n}P(s_{i})|t_{i},(s_{1},t_{1}),\cdots,(s_{i-1},t_{i- 1}),\mathbf{KG})\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),\mathbf{KG})",,"y_t = f(x_t, h_{t-1})","y_t: the generated word at time t, x_t: the input at time t, h_{t-1}: the hidden state from the previous time step"
2024.acl-short.16,3,"Here, for each projection tensor at iteration \(t\), we compute a smoothed gradient (\(\overline{T}^{(t)}_{A^{l}}\)) and uncertainly tensor (\(\overline{U}^{(t)}_{A^{l}}\)), as shown in Eq. 2 and 3, respectively. We then evaluate the freezing score \(s^{(t)}_{A^{l}}\), as the mean of the tensor generated via Hadamard product (\(\circ\)) between \(\overline{T}^{(t)}_{A^{l}}\) and \(\overline{U}^{(t)}_{A^{l}}\).

To apply thresholding on the LoRA freezing scores, we use the cubic schedule as (Zhang et al., 2022). In specific, we keep the projection matrices trainable for the initial \(t_{i}\) training steps, and then progressively freeze them by calculating the freezing fraction \(r(t)\) as shown in Eq. 5. Finally, all the projection matrices freeze beyond \(T-t_{f}\) steps. Note, at step \(t\), for a computed freezing fraction \(k\), we freeze the lowest \(k\%\) projection matrices.",r(t)=\{\begin{array}{ll}0&0\leq t<t_{i}\\ 1-(1-\frac{t-t_{i}}{T-t_{i}-t_{f}})^{3}&t_{i}\leq t<T-t_{f}\\ 1&\text{otherwise}\end{array}.,"where \(t\) refers to current #step, \(T\) is the total number of fine-tuning steps",r(t)=\left(1-\left(\frac{t-t_{i}}{T-t_{i}-t_{f}}\right)^{3}\right)_{+},"where \(t\) refers to current step, \(T\) is the total number of fine-tuning steps"
2024.acl-short.43,1,"### FastText-based LIDs

In this paper, we explore the use of MaskLID for LIDs based on the FastText Bojanowski et al. (2017) architecture. However, it is also possible to apply MaskLID to other LIDs, as long as they enable to determine how much each feature (e.g., word) contributes to each supported language. FastText is one of the most popular LID architectures due to its open-source nature, high performance, ease of use, and efficiency. FastText classifier is a multinomial logistic classifier that represents the input sentence as a set of feature embeddings, making it easy to assess each feature's contribution to the final prediction.

Given a sentence \(s\), let \(f_{1},f_{2},\ldots,f_{T}\) represent the features extracted from \(s\). Note that these features are linearly ordered, i.e., \(f_{i}\) precedes \(f_{i+1}\) in \(s\). FastText maps these features onto vectors in \(\mathbb{R}^{d}\) via feature embeddings \(\mathbf{x}_{1},\mathbf{x}_{2},\ldots,\mathbf{x}_{T}\). The dimensionality of these embeddings, denoted \(d\), is a hyperparameter. A base LID using FastText architecture computes the posterior probability for a language \(c\in[1:N]\) by applying the softmax function over logits as:",P(c|s)=\frac{\exp(\mathbf{b}_{c}\cdot\frac{1}{T}\sum_{t=1}^{T}\mathbf{x}_{t})}{ \sum_{c^{\prime}=1}^{N}\exp(\mathbf{b}_{c^{\prime}}\cdot\frac{1}{T}\sum_{t=1}^ {T}\mathbf{x}_{t})}.,,P(c|s) = \frac{e^{z_c}}{\sum_{j=1}^{N} e^{z_j}},Where \(z_c\) represents the logit for language \(c\) computed from the feature embeddings.
2024.acl-short.5,2,"\). and \(Y\). are respectively the token probability and logit generated from LMs. \(\mathcal{V}_{\cdot,i}^{\alpha}\) denotes the adaptive plausibility constraint that dynamically restricts the logits from producing the erroneous modes. The adaptive plausibility constraints are calculated as","\mathcal{V}_{\text{ori},i}^{\alpha}=\{w|P_{\mathcal{M}_{e}}(w|x_{<i})> \alpha\max_{w\in\mathcal{V}}P_{\mathcal{M}_{e}}(w|x_{<i})\}, || \mathcal{V}_{\text{imp},i}^{\alpha}=\{w|Y_{\mathcal{M}_{e}}(w| x_{<i})>\log\alpha+\max_{w\in\mathcal{V}}Y_{\mathcal{M}_{e}}(w|x_{<i})\}.",,"\mathcal{V}_{\text{ori},i}^{\alpha} = \{x_{j} \in \mathcal{V} \mid Y_{\mathcal{M}_{e}}(x_{j}|x_{<i}) \geq \alpha\}","The adaptive plausibility constraints for original and improved contrastive decoding, respectively."
2024.acl-short.62,1,"### Token-level reward modeling

In this section, we will first introduce the RL environment and then define our token-level reward modeling scheme.

Language generation can be defined as a Markov Decision Process (MDP) \(\langle\mathcal{S},\mathcal{A},\mathcal{R},\mathcal{P},\gamma\rangle\). \(\mathcal{S}\) refers to the state space and we define the start state \(s_{1}\) as the input prompts \(\{x\}\). An action at t-step \(a_{t}\) is a generated token. The transition function of the environment is denoted as \(\mathcal{P}:\mathcal{S}\times\mathcal{A}\rightarrow\mathcal{S}\), \(s_{t}=\{x,a_{1},...,a_{t-1}\}\). A response \(y\) of length \(T\) is then \(y=\{a_{1},..,a_{T}\}\). In our token-level reward scheme, a reward is assigned to each generated token \(a_{t}\) by \(\mathcal{R}\colon\mathcal{S}\times\mathcal{A}\rightarrow\mathbb{R}\), where at each time step \(t\) there is a learned reward function \(r_{t}=r_{\phi}(s_{t},a_{t})\). Therefore, for each response, we have a trajectory \(\tau=\{s_{1},a_{1},r_{1},...s_{t},a_{t},r_{t},...s_{T},a_{T},r_{T}\}\).

We define the reward of the whole trajectory as the average of rewards assigned to each token:",R(\tau)=\frac{1}{T}\sum_{t=1}^{T}r_{t}.,,R(\tau) = \frac{1}{T} \sum_{t=1}^{T} r_{t},"The average reward of the trajectory \(\tau\), where \(R(\tau)\) is the total reward, \(T\) is the length of the response, and \(r_{t}\) is the reward assigned to the token at time step \(t\)."
2024.acl-short.71,8,"The three embeddings are then fed into a feed-forward module, which outputs a scalar score:","\text{comet}(\textbf{{hyp}})=\text{score}(\textbf{{hyp}},\ \textbf{{ref}},\ \textbf{{src}}).",,"\text{score}=\text{FFN}(\textbf{{hyp}},\ \textbf{{ref}},\ \textbf{{src}}).","The scalar score output by the feed-forward module based on the embeddings of the hypothesis, reference, and source sequence."
2024.acl-short.72,3,"ng. Following previous work (Overwijk et al., 2022), the DOM nodes can be categorized into six kinds of labels \(y^{k}\), including primary content, heading, title, paragraph, table, and list. Then we calculate the label prediction probability \(P(y^{k}_{i}=1|x_{i})\) of the \(k\)-th category label \(y^{k}_{i}\) of the \(i\)-th node:",P(y^{k}_{i}=1|x_{i})=\text{Sigmoid}(\text{MLP}(\hat{h}_{i})),,"P(y^{k}_{i}=1|x_{i})=\frac{\exp(\hat{h}_{i} \cdot W^{k})}{\sum_{j=1}^{K}\exp(\hat{h}_{i} \cdot W^{j})},",where \(W^{k}\) is the weight vector for the \(k\)-th label and \(K\) is the total number of labels.
ICLR_2024_oral_1,4,"This is in general tight--for example, the maximum likelihood estimator satisfies (1) with equality as \(T\to\infty\)(Van der Vaart, 2000). The Fisher information thus serves as a fundamental lower bound on parameter estimation error, a key motivation for our exploration procedure.

Asid: Targeted Exploration for Test-Time Simulation Construction, Identification, and Policy Optimization

In this section, we present our proposed approach, Asid, a three-stage pipeline illustrated in Figure 2. We describe each component of Asid in the following.

Figure 2: **Overview of Asid: (1) Train an exploration policy \(\pi_{\mathrm{exp}}\) that maximizes the Fisher information, leveraging the vast amount of cheap simulation data. (2) Roll out \(\pi_{\mathrm{exp}}\) in real to collect informative data that can be used to (3) run system identification to identify physics parameters and reconstruct, _e.g._, geometric, collision, and kinematic properties. (4) Train a task-specific policy \(\pi_{\mathrm{task}}\) in the updated simulator and (5) zero-shot transfer \(\pi_{\mathrm{task}}\) to the real world.**

### Exploration via Fisher Information Maximization

As motivated in Section 3, to learn a policy effectively accomplishing our task, it suffices to accurately identify \(\mathbf{\theta}^{\star}\). In the exploration phase, step 1 in our learning protocol, our goal is to then play an exploration policy \(\pi_{\mathrm{exp}}\) which generates a trajectory on the real environment that provides as much information on \(\mathbf{\theta}^{\star}\) as possible. Following Section 3, the Fisher information gives a quantification of the usefulness of the data collected, which motivates our approach.

In our setting, the distribution over trajectories generated during exploration in real, \(\mathbf{\tau}_{\mathrm{real}}\sim p_{\mathbf{\theta}^{\star}}(\cdot\mid\pi_{\mathrm{ exp}})\), depends on the exploration policy, \(\pi_{\mathrm{exp}}\), being played. As the Fisher information depends on the data distribution, it too scales with the choice of exploration policy:","\mathcal{I}(\mathbf{\theta}^{\star},\pi_{\mathrm{exp}}):=\mathbb{E}_{\mathbf{\tau} \sim p_{\mathbf{\theta}^{\star}}(\cdot\mid\pi_{\mathrm{exp}})}[\nabla_{\mathbf{ \theta}}\log p_{\mathbf{\theta}^{\star}}(\mathbf{\tau}\mid\pi_{\mathrm{exp}})\cdot \nabla_{\mathbf{\theta}}\log p_{\mathbf{\theta}^{\star}}(\mathbf{\tau}\mid\pi_{\mathrm{ exp}})^{\top}].",,"\mathcal{I}(\mathbf{\theta}^{\star},\pi_{\mathrm{exp}}):=\mathbb{E}_{\mathbf{\tau}_{\mathrm{real}}\sim p_{\mathbf{\theta}^{\star}}(\cdot\mid\pi_{\mathrm{exp}})} [\nabla_{\mathbf{\theta}}\log p_{\mathbf{\theta}^{\star}}(\mathbf{\tau}_{\mathrm{real}})\cdot\nabla_{\mathbf{\theta}}\log p_{\mathbf{\theta}^{\star}}(\mathbf{\tau}_{\mathrm{real}})^{\top}].",The Fisher information matrix conditioned on the exploration policy \(\pi_{\mathrm{exp}}\) and the true parameter \(\mathbf{\theta}^{\star}\).
ICLR_2024_oral_10,11,"We instantiate this denoising diffusion framework to model the distributions over patchwise rays conditioned on the input images. We do this by simply modifying our ray regression network from Sec. 3.2 to be additionally conditioned on noisy rays (concatenated with patchwise features and pixel coordinates) and a positionally encoded (Vaswani et al., 2017) time embedding \(t\):","\{\hat{\mathcal{R}}\}_{i=1}^{N}=f_{\text{Diffusion}}(\{\mathbf{f}_{i}, \mathbf{u}_{i},\mathbf{r}_{i,t}\}_{i=1}^{N\cdot p^{2}},t), || \mathbf{r}_{i,t}=\sqrt{\bar{\alpha}_{t}}\mathbf{r}_{i}+\sqrt{1-\bar{\alpha}_{t}}\epsilon.","where the noisy rays \(\mathbf{r}_{i,t}\) can be computed as:

\[\mathbf{r}_{i,t}=\sqrt{\bar{\alpha}_{t}}\mathbf{r}_{i}+\sqrt{1-\bar{\alpha}_{t}}\epsilon","\mathbf{r}_{i,t}=\sqrt{\bar{\alpha}_{t}}\mathbf{r}_{i}+\sqrt{1-\bar{\alpha}_{t}}\epsilon","where \(\mathbf{r}_{i,t}\) is the noisy ray, \(\mathbf{r}_{i}\) is the original ray, and \(\epsilon\sim\mathcal{N}(0,\mathbf{I})\) is Gaussian noise."
ICLR_2024_oral_11,1,"### The Proposed Pruning Method

Here, we introduce the proposed CLSP method that aims to eliminate potential false candidate labels in the candidate label set of each training PLL instance. Differently from conventional learning-centric adopt PLL methods that focus on training a desired deep neural network, we pursue a data-centric solution that delves into the PLL data itself. Motivated by the clusterability setting in the conventional supervised learning (Zhu et al., 2022), we further focus on a label distinguishability setting on the PLL dataset, i.e., nearby PLL instances are likely to have the same true label (vs. false candidate label) inside their candidate label sets with a high probability (vs. a limited probability), which could be formally defined below.

**Definition 2** ((\(k,\delta_{k},\rho_{k}\))-label distinguishability).: _A PLL dataset \(\mathcal{D}=\{(\mathbf{x}_{i},Y_{i})\}_{i=1}^{n}\) satisfies (\(k,\delta_{k},\rho_{k}\)) label distinguishability if: \(\forall(\mathbf{x}_{i},Y_{i})\in\mathcal{D}\), the true label \(y_{i}\in Y_{i}\) is inside the candidate label set \(Y^{(j)}_{i}\) of its each \(k\)-NN example \((\mathbf{x}^{(j)}_{i},Y^{(j)}_{i})\), with probability at least \(1-\delta_{k}\), and each false candidate label \(y^{\prime}_{i}\in Y_{i}\backslash\{y_{i}\}\) is inside the candidate label set \(Y^{(j)}_{i}\) of its each \(k\)-NN example \((\mathbf{x}^{(j)}_{i},Y^{(j)}_{i})\) with probability no more than \(\rho_{k}\)._

Definition 2 characterizes the candidate label distribution in the local representation space, which has two-fold implications. First, the true label of instances in the local representation space appears in their candidate label sets with a high probability. Second, each false candidate label of instances in the local representation space appears in their candidate label sets with a limited probability.

Intuitively, the candidate label of an instance that appears most frequently in its \(k\)-NN instances' candidate label sets is more likely to be the true label, and the candidate label that rarely appears in its \(k\)-NN instances' candidate label sets has a high probability of being a false label. Motivated by this intuition, we introduce a per-instance label-wise metric \(O_{ij}\) towards the \(i\)-th instance (\(\mathbf{x}_{i},Y_{i}\)) associated with the \(j\)-th candidate label, to measure the possibility of the \(j\)-th candidate label is _not_ the true label of the instance \(\mathbf{x}_{i}\), which implies that we should prune the \(j\)-th label from the candidate label set if \(O_{ij}\) is large. Concretely, \(O_{ij}\) is calculated by counting the times of its \(j\)-th candidate label not appearing in its \(k\)-NN instances' candidate label set \(Y_{i}^{(k)}\):","O_{ij}=\sum_{v=1}^{k}\mathbb{I}[y_{ij}\neq y_{ij}^{(v)}],\forall j\in Y_{i},",where \(\mathbb{I}[\cdot]\) is the indicator function and \(y_{ij}\) is the \(j\)-th candidate label of \(\mathbf{x}_{i}\),O_{ij} = \frac{1}{k} \sum_{j=1}^{k} \mathbb{I}[y_{ij} \notin Y^{(j)}_{i}]\,where \(\mathbb{I}[\cdot]\) is the indicator function and \(y_{ij}\) is the \(j\)-th candidate label of \(\mathbf{x}_{i}\)
