paper_id,equation_id,context,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.12,1,"## 3 Preliminaries

Traditional works rely on text frequencies to define whether the instance is long-tail or not; thus, low-frequency texts tend to be classified into long-tail classes. For LLMs, computing text frequencies of previously unknown user queries is by no means an easy task. As in (Aimar et al., 2023; Zhong et al., 2021; Xu et al., 2021), _Expected Calibration Error_ (ECE) provides a new perspective to measure ""long-tailness"". ECE measures how well a model's estimated probabilities match true (observed) probabilities (Guo et al., 2017). In the calculation of ECE, the confidence of each instance is allocated to a specific interval and obtained by the model predicted probability. The accuracy is determined by the comparison of the predicted label and the ground truth. The absolute margin between confidence and accuracy of each instance represents the calibration degree. The expected calibration degree of the whole dataset indicates the reliance of the model. Formally, ECE can be formulated as:",ECE=\sum_{i=1}^{B}\frac{n_{b_{i}}}{N}|acc(b_{i})-conf(b_{i})|,"where \(i\) denotes \(i\)-th bin, \(N\) is the total instance count of the dataset, \(acc(b_{i})\) and \(conf(b_{i})\) represent the accuracy and confidence of the bin \(b_{i}\), and \(n_{b_{i}}\) is the instance number of the bin \(b_{i}\)","\begin{equation}
\text{ECE} = \sum_{k=1}^{K} \frac{|B_k|}{N} \left| \text{acc}(B_k) - \text{conf}(B_k) \right|
\end{equation}","ECE is calculated by dividing instances into K bins based on confidence intervals, where each bin B_k contains instances with similar confidence levels, and computes the weighted average of the absolute difference between accuracy and confidence within each bin."
2024.acl-short.12,2,"\). \(B\) is the count of bins in the interval of \([0,1]\). In our work, we extend ECE for NLP, particularly for the LLM text generation scenario.

## 4 Methodology

### Metric-based Long-tailness Detection

As long-tail knowledge is crucial for RAG, we propose the GECE metric to detect the instance ""long-tailness"". Here, we transform the traditional ECE formula with METEOR (Banerjee and Lavie, 2005) and average prediction probability:

* Accuracy in ECE is to measure the agreement between prediction and ground truth. Inthe generative scenario, we utilize METEOR Banerjee and Lavie (2005) to measure coherence and relevance between predicted candidates and ground truth.
* Confidence in ECE is the predicted probability produced by the model itself. Similarly, we employ the average token probability output by LLMs.

Moreover, to enhance our metric with long-tail detection abilities, we further integrate the following two factors, which assist us to further separate common and long-tail instances apart:

* Average word frequency, as word frequency is a basic indication of long-tail texts.
* Dot product between the mean gradient of the total dataset and the gradient of a specific instance is leveraged to evaluate the discrepancy Chen et al. (2022). This is because the gradient of a long-tail instance has a large disparity with the mean gradient of the total dataset, and vice versa.

From the above analysis, we construct GECE as:","GECE=\frac{|M(pred,ref)-\frac{1}{n}\sum_{i=1}^{n}p(t_{i})|}{\alpha\cdot[E( \bigtriangledown_{ins})\cdot\bigtriangledown_{ins}]}","where \(pred\) and \(ref\) represent the generated text and the referenced ground truth, respectively","GECE = \sum_{i=1}^{B} \frac{n_{b_i}}{N} \left| \text{METEOR}(y_{\text{pred}}, y_{\text{true}}) - \text{AvgProb}(y_{\text{pred}}) + \lambda_1 \cdot \text{AvgFreq}(x) + \lambda_2 \cdot \nabla(x) \cdot \nabla_{\text{mean}} \right|","where $ \text{METEOR}(y_{\text{pred}}, y_{\text{true}}) $ measures coherence and relevance between predicted and ground truth texts, $ \text{AvgProb}(y_{\text{pred}}) $ is the average token probability of the prediction, $ \text{AvgFreq}(x) $ is the average word frequency in input $ x $, $ \nabla(x) \cdot \nabla_{\text{mean}} $ evaluates the gradient discrepancy, and $ \lambda_1, \lambda_2 $ are weighting coefficients."
2024.acl-short.14,1,"### Forward Sentence-Level Generation

In this part, we decompose the generation of the text to describe the full KG into a sequential decoding problem: the model sequentially generate a semantically complete sentence with the sentence-specific subset of KG triples. Then the model generates the full text of KG based on the triples and the sentence-level generation. The generation process can be formulated as follows:","P(\mathbf{cot},T|\mathbf{KG}) || =P((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T|\mathbf{KG}) || =\prod_{i=1}^{n}P((s_{i},t_{i})|(s_{1},t_{1}),\cdots,(s_{i-1},t_ {i-1}),\mathbf{KG})\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),\mathbf{KG}) || =\prod_{i=1}^{n}P(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}), \mathbf{KG})\cdot || \prod_{i=1}^{n}P(s_{i})|t_{i},(s_{1},t_{1}),\cdots,(s_{i-1},t_{i- 1}),\mathbf{KG})\cdot || P(T|(s_{1},t_{1}),\cdots,(s_{n},t_{n}),\mathbf{KG})",,"P(Y|X) = \prod_{t=1}^{T} P(y_t | X, y_{<t})","Equation 1 defines the probability of generating the full text $ Y $ given the input KG $ X $, decomposed as a product of conditional probabilities for each sentence $ y_t $ given $ X $ and the previously generated sentences $ y_{<t} $."
2024.acl-short.14,2,"es.

In the example in Figure 2, There are two semantically complete sentences in the target text, i.e. \(n\) = 2. The first sentence \(s_{1}\) is ""Aarhus University in Denmark is affiliated with the European University Association, which has its HQ in Brussels"", which describes the ""Aarhus University"" and its affiliation. The triplet subset corresponding to this sentence \(t_{1}\) is ""<Aarhus University, country, Denmark>; <Aarhus University, affiliation, European University Association>; <European University Association, headquarters, Brussels>"". The second sentence \(s_{2}\) describes the entity ""Denmark"".

The cross-entropy loss is utilized to optimize the model:","L_{seq}=-\mathbf{log}P((s_{1},t_{1}),\cdots,(s_{n},t_{n}),T| \mathbf{KG}) || =-\sum_{i=1}^{n}\mathbf{log}P(t_{i}|(s_{1},t_{1}),\cdots,(s_{i-1},t_{i-1}), || \mathbf{KG})-\sum_{i=1}^{n}\mathbf{log}P(s_{i})|t_{i},(s_{1},t_{1 }),\cdots,(s_{i-1}, || t_{i-1}),\mathbf{KG})-\sum_{i=1}^{n}\mathbf{log}P(T|(s_{1},t_{1 }),\cdots,(s_{n}, || t_{n}),\mathbf{KG})",,"\mathcal{L} = -\sum_{i=1}^{n} \log P(t_i | \mathbf{KG}, \text{prefix}_i) - \sum_{i=1}^{n} \log P(s_i | t_i, \mathbf{KG}, \text{prefix}_i)","The loss function combines the negative log-likelihoods of predicting each sentence-specific triplet subset and the corresponding sentence, conditioned on the knowledge graph and previously generated context."
2024.acl-short.14,3,"### Backward Relation Extraction

To help the model capture the correct relational information between the head and tail entities, we de

Figure 2: Pipeline of our approach BDMG. It includes forward sequential sentence-level generation and backward relation extraction.

sign the backward relation extraction task. Specifically, we randomly sample a number of triples from the KG and prompt the model to infer the relation between its head and tail entities based on the text generation of the KG. Such as the triple ""European University Association, headquarters, Brussels"", we prompt the model as ""what is the relation between European University Association and Brussels based on the text \(\cdots\)"", and the target answer is ""The headquarters of European University Association are in Brussels"". The objective function is as follows:","L_{re} =-\textbf{log}P(r|h,t,T) || =-\textbf{log}\prod_{i=1}^{m}P(r_{i}|r_{<i},h,t,T)",,"L_{b}=-\sum_{(h,r,t)\in \mathbf{KG}}\mathbf{log}P(r|h,t,T)","The backward relation extraction loss function, which encourages the model to correctly infer relations between head and tail entities given the generated text."
2024.acl-short.14,4,"th.

### Training and Inference

Our model is jointly optimized by the sequential sentence-level generation loss and the backward RE loss:",L=\alpha_{1}L_{seq}+\alpha_{2}L_{re},where \(\alpha_{1}\) and \(\alpha_{2}\) are parameters to tune,L_{total} = L_{seq} + \lambda L_{re},Total loss combining sequential generation and relation extraction objectives
2024.acl-short.15,1,"### Task Description

As previously discussed in SS1, SLU in dialog systems contains two subtasks: intent detection and slot filling. Since the two subtasks are highly correlated (Goo et al., 2018), it is common to adopt a joint SLU model that can capture shared knowledge. Formally, given an input sentence \(\mathbf{x}\) in a target language, zero-shot cross-lingual SLU means the joint model is trained in a source language dataset, _e.g._, English, and directly applied to the target language datasets, _e.g._, Chinese:","(\mathbf{o}^{I},\mathbf{o}^{S})=f(\mathbf{x}),",where \(f(\cdot)\) is the joint model; \(\mathbf{o}^{I}\) and \(\mathbf{o}^{S}\) denotes an intent label and a slot sequence,"\begin{equation}
\mathbf{y} = f_{\theta}(\mathbf{x})
\end{equation}","Equation 1 defines the joint SLU model $f_{\theta}$ that maps an input sentence $\mathbf{x}$ to the output $\mathbf{y}$, representing intent and slot labels, in zero-shot cross-lingual settings."
2024.acl-short.15,2,"ce. Note that multiple target languages are considered, while only English serves as the source language in our setting.

### Representation-Level Alignment

In existing zero-shot cross-lingual SLU studies, a bunch of works (Liang et al., 2022; Qin et al., 2022) have employed contrastive learning to explicitly align code-switched sentences with original sentences. However, this token-to-token hard alignment disrupts the inherent structure of languages (Zhu et al., 2023). Therefore, we introduce optimal transport (OT) (Peyre et al., 2019) to facilitate soft alignment at the representation level, which aims to find a mapping that transitions probability from one distribution to another with a minimized cost. The OT problem considers two point sets \(\mathbf{A}=\{\alpha_{i}\}_{i=1}^{n}\) and \(\mathbf{B}=\{\beta_{i}\}_{i=1}^{m}\), and a transport cost matrix \(\mathbf{C}\) with components \(\mathbf{C}_{[i,j]}=c(\alpha_{i},\beta_{j})\) specifying the cost of aligning a pair of points. The goal of OT is to compute a mapping or an alignment matrix \(\mathbf{Q}\) that pushes the probability mass of \(\mathbf{A}\) toward that of \(\mathbf{B}\), while minimizing the sum of costs weighted by the alignments: \(\mathcal{L}_{\mathbf{C}}=\sum_{[i,j]}\mathbf{C}_{[i,j]}\mathbf{Q}_{[i,j]}\), where the alignment matrix \(\mathbf{Q}\) can be determined using certain OT solution algorithm (_e.g._, relaxed OT (Kusner et al., 2015), Sinkhorn-Knopp (Sinkhorn and Knopp, 1967) and IPOT (Xie et al., 2020)).

In this work, we denote the original and corresponding code-switched sentence as \(\mathbf{x}=\{w_{1},w_{2},\ldots,w_{L}\}\) and \(\mathbf{x}^{\prime}=\{w_{1},w^{\prime}_{2},\ldots,w_{L}\}\), where \(w^{\prime}_{i}\) means the replaced source language token by target languages. For a sample \(\mathbf{x}\) and its code-switched sentence \(\mathbf{x}^{\prime}\), the multilingual pre-trained language model (mPLM) will produce two different representations \(\mathbf{h},\mathbf{h}^{\prime}\) (prepended [CLS]

Figure 1: Overview of our proposed RePe.

and appended [SEP]). Then, we treat \(\mathbf{h}\) and \(\mathbf{h}^{\prime}\) as two point sets and assume each token is uniformly distributed. The cost matrix \(\mathbf{C}\) is obtained by computing the cosine distance between contextualized representations in \(\mathbf{h}\) and \(\mathbf{h}^{\prime}\). As for the solutions, we use IPOT in this work to obtain the alignment matrix \(\mathbf{Q}\), which improves the training speed without degrading the performance as shown in SS4.1. The final alignment matrix \(\mathbf{\hat{Q}}\) is computed by:","\hat{\mathbf{Q}}_{[i,j]}=\mathrm{norm}(\mathbf{Q}_{[i,j]}),","where \(\mathrm{norm}(\cdot)\) denotes row normalization, which constrains the values to lie between 0 and 1","\mathbf{\hat{Q}} = \mathop{\text{argmin}}\limits_{\mathbf{Q} \in \Pi(\mathbf{h}, \mathbf{h}^{\prime})} \sum_{i,j} \mathbf{C}_{[i,j]} \mathbf{Q}_{[i,j]},","where $\Pi(\mathbf{h}, \mathbf{h}^{\prime})$ denotes the set of all possible transport plans between the representations $\mathbf{h}$ and $\mathbf{h}^{\prime}$, and $\mathbf{\hat{Q}}$ is the optimal alignment matrix obtained via IPOT."
2024.acl-short.15,3,"1. The value \(\mathbf{\hat{Q}}_{[i,j]}=1\) indicates the extent of alignment between \(\mathbf{h}_{i}\) and \(\mathbf{h}^{\prime}_{j}\). In this manner, the resulting alignment matrix is used as weak supervision to encourage soft alignment between original and code-switched sentences. The training loss for representation-level alignment is defined as:","\mathcal{L}_{\text{RLA}}=-\sum_{[i,j]}\mathbf{\hat{Q}}_{[i,j]}\log(\sigma(1- \mathbf{C}_{[i,j]})),","where \(\sigma\) denotes the sigmoid function, and \(1-\mathbf{C}_{[i,j]}\) denotes the cosine similarity between \(\mathbf{h}_{i}\) and \(\mathbf{h}^{\prime}_{j}\)","\mathcal{L}_{\text{align}} = -\sum_{i,j} \hat{\mathbf{Q}}_{[i,j]} \log \hat{\mathbf{Q}}_{[i,j]}.",the training loss for representation-level alignment using the alignment matrix $\mathbf{\hat{Q}}$ as weak supervision
2024.acl-short.15,4,"\).

### Prediction-Level Alignment

For intent detection task, we then feed the whole sentence representations of \(\mathbf{h}_{\text{CLS}}\) and \(\mathbf{h}^{\prime}_{\text{CLS}}\) into a classification layer (decoder\({}^{I}\)):","\mathbf{P}^{I}_{\mathbf{x}} =\mathrm{softmax}(\mathbf{W}^{I}\mathbf{h}_{\text{CLS}}+\mathbf{ b}^{I}), || \mathbf{P}^{I}_{\mathbf{x}^{\prime}} =\mathrm{softmax}(\mathbf{W}^{I}\mathbf{h}^{\prime}_{\text{CLS}}+ \mathbf{b}^{I}),",,"\mathbf{p}^{I} = \text{softmax}(\text{decoder}^{I}(\mathbf{h}_{\text{CLS}})),",where $\mathbf{p}^{I}$ denotes the predicted intent probability distribution for the original sentence
