paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
2024.acl-short.12,1,0.8601,0.6094,0.672,0.6286,0.5714285714285714,[np.float64(0.5714285714285714)]
2024.acl-short.12,2,0.7889,0.2074,0.39080459770114945,0.3467,0.6666666666666666,[np.float64(0.6666666666666666)]
2024.acl-short.14,1,0.0002,0.0974,0.12993039443155452,0.2044,1.0,[1.0]
2024.acl-short.14,2,0.0006,0.1026,0.10932475884244373,0.1277,1.0,[1.0]
2024.acl-short.14,3,0.3601,0.1905,0.3597122302158273,0.3333,0.6666666666666666,[np.float64(0.6666666666666666)]
2024.acl-short.14,4,0.4606,0.4444,0.6,0.6667,0.4444444444444444,[np.float64(0.4444444444444444)]
2024.acl-short.15,1,0.7428,0.3704,0.4444444444444444,0.1538,1.0,[1.0]
2024.acl-short.15,2,0.8018,0.2647,0.46153846153846156,0.3158,0.6666666666666666,[np.float64(0.6666666666666666)]
2024.acl-short.15,3,0.7636,0.312,0.43010752688172044,0.4583,1.0,[1.0]
2024.acl-short.15,4,0.5113,0.4688,0.5882352941176471,0.4889,0.34615384615384615,[np.float64(0.34615384615384615)]
2024.acl-short.15,5,0.764,0.9143,0.9423076923076923,1.0,0.0,[np.float64(0.0)]
2024.acl-short.15,6,0.0843,0.2184,0.3508771929824561,0.3636,1.0,[1.0]
2024.acl-short.15,7,0.7656,0.2609,0.12449799196787148,0.3729,1.0,[1.0]
2024.acl-short.15,8,0.7828,0.6409,0.6685552407932012,0.8,0.0,[np.float64(0.0)]
2024.acl-short.15,9,0.7492,0.6364,0.691358024691358,0.72,0.0,[np.float64(0.0)]
2024.acl-short.16,1,0.5666,0.1111,0.23300970873786409,0.4211,0.6,[np.float64(0.6)]
2024.acl-short.16,2,0.0014,0.1099,0.11848341232227488,0.1237,1.0,[1.0]
2024.acl-short.16,3,0.7517,0.2338,0.14960629921259844,0.2319,1.0,[1.0]
2024.acl-short.20,1,0.8652,0.8409,0.8735632183908046,0.9091,0.11764705882352941,[np.float64(0.11764705882352941)]
2024.acl-short.20,2,0.6297,0.5096,0.5776173285198556,0.7857,0.85,[np.float64(0.85)]
2024.acl-short.20,3,0.191,0.1789,0.2275449101796407,0.4,1.0,[1.0]
2024.acl-short.20,4,0.8064,0.5185,0.647887323943662,0.7619,1.0,[1.0]
2024.acl-short.20,5,0.7719,0.6719,0.7889908256880734,0.7778,1.0,[1.0]
2024.acl-short.25,1,0.0445,0.2059,0.2937853107344633,0.2222,0.875,[np.float64(0.875)]
2024.acl-short.25,2,0.7448,0.4786,0.6473988439306358,0.7317,0.5,[np.float64(0.5)]
2024.acl-short.25,3,0.4471,0.4762,0.6355140186915887,0.5882,0.7894736842105263,[np.float64(0.7894736842105263)]
2024.acl-short.25,4,0.8952,0.9032,0.9354838709677419,1.0,0.19047619047619047,[np.float64(0.19047619047619047)]
2024.acl-short.25,5,0.6272,0.2308,0.2983425414364641,0.619,1.0,[1.0]
2024.acl-short.3,1,0.1234,0.2642,0.43478260869565216,0.5263,0.8,[np.float64(0.8)]
2024.acl-short.3,2,0.7505,0.358,0.47761194029850745,0.4865,0.625,[np.float64(0.625)]
2024.acl-short.39,1,0.1117,0.069,0.09090909090909091,0.1429,0.7647058823529411,[np.float64(0.7647058823529411)]
2024.acl-short.39,2,0.6585,0.5714,0.7246376811594203,0.7778,0.17647058823529413,[np.float64(0.17647058823529413)]
2024.acl-short.39,3,0.67,0.625,0.7605633802816901,0.6364,0.0,[np.float64(0.0)]
2024.acl-short.40,1,0.1877,0.25,0.36363636363636365,0.2941,1.0,[1.0]
2024.acl-short.40,2,0.7751,0.4574,0.6436781609195402,0.5,1.0,[np.float64(1.0)]
2024.acl-short.41,1,0.7309,0.5094,0.6666666666666666,0.6667,0.21428571428571427,[np.float64(0.21428571428571427)]
2024.acl-short.41,2,0.7602,0.6522,0.8,0.8696,0.5151515151515151,[np.float64(0.5151515151515151)]
2024.acl-short.43,1,0.7824,0.4503,0.636986301369863,0.5641,0.0,[np.float64(0.0)]
2024.acl-short.43,2,1.0,1.0,1.0,1.0,1.0,[1.0]
2024.acl-short.49,1,0.1106,0.2,0.2938388625592417,0.2759,1.0,[np.float64(1.0)]
2024.acl-short.49,2,0.7738,0.3492,0.5686274509803921,0.4242,0.5454545454545454,[np.float64(0.5454545454545454)]
2024.acl-short.49,3,0.7795,0.2739,0.3089430894308943,0.303,0.7068965517241379,[np.float64(0.7068965517241379)]
2024.acl-short.5,1,0.1552,0.2692,0.07174887892376682,0.3743,0.0,[np.float64(0.0)]
2024.acl-short.5,2,0.4523,0.3678,0.49829351535836175,0.6,1.0,[1.0]
2024.acl-short.53,1,0.4663,0.2308,0.32727272727272727,0.1212,0.75,[np.float64(0.75)]
2024.acl-short.53,2,0.0479,0.125,0.17142857142857143,0.3077,1.0,[np.float64(1.0)]
2024.acl-short.56,1,0.7988,0.2321,0.1651376146788991,0.3077,0.3333333333333333,[np.float64(0.3333333333333333)]
2024.acl-short.56,2,0.4084,0.244,0.296,0.3448,1.0,[1.0]
2024.acl-short.57,1,0.2033,0.2899,0.4489795918367347,0.5,0.17391304347826086,[np.float64(0.17391304347826086)]
2024.acl-short.57,2,0.6891,0.6226,0.78,1.0,0.0,[np.float64(0.0)]
2024.acl-short.57,3,0.0063,0.1282,0.25327510917030566,0.2414,0.7,[np.float64(0.7)]
2024.acl-short.62,1,0.7399,0.7368,0.8108108108108109,0.9091,1.0,[1.0]
2024.acl-short.62,2,0.3937,0.5,0.6294416243654822,0.7119,1.0,[1.0]
2024.acl-short.62,3,0.0726,0.2625,0.3699421965317919,0.383,1.0,[1.0]
2024.acl-short.62,4,0.7796,0.7153,0.85,0.8974,1.0,[1.0]
2024.acl-short.66,1,0.6281,0.1552,0.27184466019417475,0.3571,0.7142857142857143,[np.float64(0.7142857142857143)]
2024.acl-short.66,2,0.6031,0.7619,0.8695652173913043,0.8667,0.18518518518518517,[np.float64(0.18518518518518517)]
2024.acl-short.66,3,0.7756,0.6667,0.7631578947368421,0.6522,0.25,[np.float64(0.25)]
2024.acl-short.66,4,0.0554,0.2064,0.2569444444444444,0.2472,1.0,[1.0]
2024.acl-short.66,5,0.5224,0.23,0.2891566265060241,0.4091,1.0,[1.0]
2024.acl-short.66,6,0.715,0.9545,0.9767441860465116,1.0,1.0,[1.0]
2024.acl-short.68,1,0.5314,0.5,0.64,0.7692,1.0,[1.0]
2024.acl-short.68,2,0.3505,0.3333,0.4827586206896552,0.6364,0.2222222222222222,[np.float64(0.2222222222222222)]
2024.acl-short.68,3,0.256,0.1892,0.3448275862068966,0.1875,0.875,"[np.float64(0.75), 1.0]"
2024.acl-short.68,4,0.6298,0.1667,0.5531914893617021,0.6,0.7272727272727273,[np.float64(0.7272727272727273)]
2024.acl-short.68,5,0.3367,0.3091,0.43731778425655976,0.4086,1.0,[1.0]
