paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
2024.acl-short.12,1,0.8601,0.6094,0.672,0.6286,0.5714285714285714,[np.float64(0.5714285714285714)]
2024.acl-short.12,2,0.597,0.3492,0.4131455399061033,0.3607,0.7555555555555555,[np.float64(0.7555555555555555)]
2024.acl-short.14,1,0.0002,0.0923,0.13921113689095127,0.1606,1.0,[1.0]
2024.acl-short.14,2,0.2594,0.4212,0.5631067961165048,0.623,0.5,[np.float64(0.5)]
2024.acl-short.14,3,0.3558,0.2619,0.42424242424242425,0.3902,0.6666666666666666,[np.float64(0.6666666666666666)]
2024.acl-short.14,4,0.42,0.5,0.6333333333333333,0.6667,0.2222222222222222,[np.float64(0.2222222222222222)]
2024.acl-short.15,1,0.5037,0.0556,0.12903225806451613,0.1818,1.0,[1.0]
2024.acl-short.15,2,0.318,0.3226,0.43478260869565216,0.3077,0.75,[np.float64(0.75)]
2024.acl-short.15,3,0.7626,0.3514,0.5333333333333333,0.5128,1.0,[1.0]
2024.acl-short.15,4,0.5099,0.4792,0.591715976331361,0.5333,0.34615384615384615,[np.float64(0.34615384615384615)]
2024.acl-short.15,5,0.273,0.3883,0.5594405594405595,0.6316,0.0,[np.float64(0.0)]
2024.acl-short.15,6,0.7729,0.3776,0.4864864864864865,0.4074,1.0,[1.0]
2024.acl-short.15,7,0.7729,0.3308,0.4603174603174603,0.5806,0.88,[np.float64(0.88)]
2024.acl-short.15,8,0.5328,0.5814,0.7123287671232876,0.6923,0.0,[np.float64(0.0)]
2024.acl-short.15,9,0.8769,0.5072,0.6792452830188679,0.8,0.35294117647058826,[np.float64(0.35294117647058826)]
2024.acl-short.16,1,0.7587,0.28,0.24675324675324675,0.4091,0.4722222222222222,[np.float64(0.4722222222222222)]
2024.acl-short.16,2,0.0102,0.1346,0.1585081585081585,0.1765,1.0,[1.0]
2024.acl-short.16,3,0.7336,0.5982,0.7358490566037735,0.7576,1.0,[1.0]
2024.acl-short.20,1,0.7755,0.814,0.9,0.9677,0.058823529411764705,[np.float64(0.058823529411764705)]
2024.acl-short.20,2,0.6529,0.5159,0.5519713261648745,0.7857,0.85,[np.float64(0.85)]
2024.acl-short.20,3,0.7314,0.3175,0.43373493975903615,0.5634,1.0,[1.0]
2024.acl-short.20,4,0.8234,0.6628,0.7891156462585034,0.8,1.0,"[1.0, 1.0, 1.0]"
2024.acl-short.20,5,0.7441,0.5417,0.6153846153846154,0.7778,1.0,[1.0]
2024.acl-short.25,1,0.0526,0.2353,0.31693989071038253,0.2222,0.875,[np.float64(0.875)]
2024.acl-short.25,2,0.7435,0.7887,0.8818897637795275,0.8824,0.5357142857142857,[np.float64(0.5357142857142857)]
2024.acl-short.25,3,0.6336,0.254,0.3064516129032258,0.5,0.7894736842105263,[np.float64(0.7894736842105263)]
2024.acl-short.25,4,0.9436,0.8594,0.9047619047619048,0.9744,0.19047619047619047,[np.float64(0.19047619047619047)]
2024.acl-short.25,5,0.1577,0.2527,0.3389830508474576,0.4516,0.7073170731707317,[np.float64(0.7073170731707317)]
2024.acl-short.3,1,0.5552,0.5094,0.5806451612903226,0.48,0.4666666666666667,[np.float64(0.4666666666666667)]
2024.acl-short.3,2,0.777,0.4051,0.5151515151515151,0.5143,0.6086956521739131,[np.float64(0.6086956521739131)]
2024.acl-short.39,1,0.1201,0.1034,0.10526315789473684,0.0,0.8235294117647058,[np.float64(0.8235294117647058)]
2024.acl-short.39,2,0.752,0.6279,0.6923076923076923,0.7,0.45161290322580644,[np.float64(0.45161290322580644)]
2024.acl-short.39,3,0.67,0.625,0.7605633802816901,0.6364,0.0,[np.float64(0.0)]
2024.acl-short.40,1,0.6087,0.4625,0.4966442953020134,0.6047,1.0,[1.0]
2024.acl-short.40,2,0.7874,0.5412,0.703030303030303,0.549,1.0,[np.float64(1.0)]
2024.acl-short.41,1,0.7701,0.0909,0.21428571428571427,0.2667,0.7857142857142857,[np.float64(0.7857142857142857)]
2024.acl-short.41,2,0.7343,0.6053,0.75,0.84,0.5714285714285714,[np.float64(0.5714285714285714)]
2024.acl-short.43,1,0.4181,0.3617,0.44545454545454544,0.459,0.9629629629629629,[np.float64(0.9629629629629629)]
2024.acl-short.43,2,1.0,1.0,1.0,1.0,1.0,[1.0]
2024.acl-short.49,1,0.0001,0.075,0.09248554913294797,0.1702,0.7758620689655172,[np.float64(0.7758620689655172)]
2024.acl-short.49,2,0.9667,0.7805,0.8,0.7692,0.0,[np.float64(0.0)]
2024.acl-short.49,3,0.784,0.2885,0.39183673469387753,0.4286,0.6081081081081081,[np.float64(0.6081081081081081)]
2024.acl-short.5,1,0.2646,0.3547,0.15007215007215008,0.4246,0.0,[np.float64(0.0)]
2024.acl-short.5,2,0.4593,0.3218,0.4300341296928328,0.3896,1.0,[1.0]
2024.acl-short.53,1,0.628,0.3538,0.4745762711864407,0.3429,0.7333333333333333,[np.float64(0.7333333333333333)]
2024.acl-short.53,2,0.0848,0.25,0.3225806451612903,0.4615,1.0,[np.float64(1.0)]
2024.acl-short.56,1,0.3858,0.3208,0.25,0.3158,0.32142857142857145,[np.float64(0.32142857142857145)]
