paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
2024.acl-short.12,1,0.9055,0.8219,0.8955223880597015,0.8889,0.5428571428571428,[np.float64(0.5428571428571428)]
2024.acl-short.12,2,0.7592,0.1866,0.34615384615384615,0.2632,1.0,[1.0]
2024.acl-short.14,1,0.0,0.0385,0.05378973105134474,0.0611,1.0,[1.0]
2024.acl-short.14,2,0.0104,0.1538,0.26006191950464397,0.3061,0.4666666666666667,[np.float64(0.4666666666666667)]
2024.acl-short.14,3,0.3778,0.3214,0.49624060150375937,0.3902,0.375,[np.float64(0.375)]
2024.acl-short.14,4,0.9969,0.9474,0.972972972972973,1.0,0.0,[np.float64(0.0)]
2024.acl-short.15,1,0.5851,0.4444,0.7222222222222222,0.6667,1.0,[1.0]
2024.acl-short.15,2,0.2619,0.4839,0.6521739130434783,0.6667,0.75,[np.float64(0.75)]
2024.acl-short.15,3,0.6783,0.5902,0.7563025210084033,0.75,1.0,[1.0]
2024.acl-short.15,4,0.2112,0.3333,0.4892086330935252,0.4737,0.4230769230769231,[np.float64(0.4230769230769231)]
2024.acl-short.15,5,0.273,0.3883,0.5594405594405595,0.6316,0.0,[np.float64(0.0)]
2024.acl-short.15,6,0.7058,0.3333,0.5088757396449705,0.5,1.0,[1.0]
2024.acl-short.15,7,0.5619,0.4077,0.5560975609756098,0.7347,1.0,[1.0]
2024.acl-short.15,8,0.5713,0.5988,0.6526315789473685,0.7436,0.13333333333333333,"[np.float64(0.4), np.float64(0.0), np.float64(0.0)]"
2024.acl-short.15,9,0.7504,0.5227,0.6419753086419753,0.64,0.0,[np.float64(0.0)]
2024.acl-short.16,1,0.6965,0.2373,0.35398230088495575,0.25,0.5769230769230769,[np.float64(0.5769230769230769)]
2024.acl-short.16,2,0.0055,0.1071,0.10526315789473684,0.1584,0.8181818181818182,[np.float64(0.8181818181818182)]
2024.acl-short.16,3,0.4108,0.47,0.5882352941176471,0.52,1.0,[1.0]
2024.acl-short.20,1,0.9484,0.75,0.8131868131868132,0.8485,0.11764705882352941,[np.float64(0.11764705882352941)]
2024.acl-short.20,2,0.6662,0.5032,0.5755395683453237,0.7857,0.7,[np.float64(0.7)]
2024.acl-short.20,3,0.8082,0.4868,0.6254545454545455,0.6667,1.0,[1.0]
2024.acl-short.20,4,0.607,0.4754,0.5904761904761905,0.7273,1.0,[1.0]
2024.acl-short.20,5,0.7533,0.25,0.43564356435643564,0.5143,1.0,[1.0]
2024.acl-short.25,1,0.0526,0.2353,0.31693989071038253,0.2222,0.875,[np.float64(0.875)]
2024.acl-short.25,2,0.6969,0.6071,0.7843137254901961,0.8276,0.39285714285714285,[np.float64(0.39285714285714285)]
2024.acl-short.25,3,0.6594,0.1905,0.5079365079365079,0.35,0.631578947368421,[np.float64(0.631578947368421)]
2024.acl-short.25,4,1.0,1.0,1.0,1.0,0.0,[np.float64(0.0)]
2024.acl-short.25,5,0.2581,0.2418,0.3548387096774194,0.3636,0.8048780487804879,[np.float64(0.8048780487804879)]
2024.acl-short.3,1,0.5552,0.5094,0.5806451612903226,0.48,0.4666666666666667,[np.float64(0.4666666666666667)]
2024.acl-short.3,2,0.7473,0.3036,0.5137614678899083,0.4138,0.6153846153846154,[np.float64(0.6153846153846154)]
2024.acl-short.39,1,0.4316,0.5517,0.7083333333333334,0.6667,0.5294117647058824,[np.float64(0.5294117647058824)]
2024.acl-short.39,2,0.7634,0.2321,0.3076923076923077,0.32,0.8235294117647058,[np.float64(0.8235294117647058)]
2024.acl-short.39,3,0.7649,0.4898,0.6966292134831461,0.7143,0.7058823529411765,[np.float64(0.7058823529411765)]
2024.acl-short.40,1,0.2986,0.475,0.6386554621848739,0.7027,0.7222222222222222,[np.float64(0.7222222222222222)]
2024.acl-short.40,2,0.6589,0.7625,0.863013698630137,0.7442,1.0,[1.0]
2024.acl-short.41,1,0.7251,0.375,0.5,0.4,0.38461538461538464,[np.float64(0.38461538461538464)]
2024.acl-short.41,2,0.7214,0.7841,0.8795180722891566,0.913,0.18181818181818182,[np.float64(0.18181818181818182)]
2024.acl-short.43,1,0.1306,0.2766,0.3978494623655914,0.3077,0.0,[np.float64(0.0)]
2024.acl-short.43,2,0.7678,0.1257,0.20725388601036268,0.0968,1.0,[1.0]
2024.acl-short.49,1,0.6781,0.8812,0.9306930693069307,0.9383,0.08620689655172414,[np.float64(0.08620689655172414)]
2024.acl-short.49,2,0.9714,0.878,0.9,0.7692,0.0,[np.float64(0.0)]
