paper_id,equation_id,semantic_score,reasoning_score,completeness_score,syntactic_score,contextual_score
2024.acl-short.14,1,2,3,3,5,4
2024.acl-short.16,3,3,3,5,5,5
2024.acl-short.43,1,3,4,5,5,5
2024.acl-short.5,2,3,3,5,5,5
2024.acl-short.62,1,5,5,5,5,5
2024.acl-short.71,8,4,5,5,5,5
2024.acl-short.72,3,2,3,4,5,4
ICLR_2024_oral_1,4,5,5,5,5,5
ICLR_2024_oral_10,11,3,4,5,5,5
ICLR_2024_oral_11,1,5,5,5,5,5
ICLR_2024_oral_11,3,4,4,4,5,4
ICLR_2024_oral_14,1,4,5,5,5,5
ICLR_2024_oral_15,1,2,3,3,5,4
ICLR_2024_oral_15,2,3,4,5,5,5
ICLR_2024_oral_16,5,4,4,3,5,2
ICLR_2024_oral_23,6,5,5,2,5,3
ICLR_2024_oral_23,10,2,3,5,5,5
ICLR_2024_oral_24,8,4,4,5,5,5
ICLR_2024_oral_24,12,2,3,5,5,5
ICLR_2024_oral_26,2,2,3,5,5,5
ICLR_2024_oral_3,2,3,4,5,5,5
ICLR_2024_oral_3,7,4,4,5,5,5
ICLR_2024_oral_3,8,2,4,4,5,5
ICLR_2024_oral_31,1,2,3,5,5,5
ICLR_2024_oral_39,4,4,5,5,5,5
ICLR_2024_oral_4,3,2,3,3,5,4
ICLR_2024_oral_44,5,2,4,5,5,5
ICLR_2024_oral_45,5,3,4,5,5,5
ICLR_2024_oral_54,9,5,5,5,5,5
ICLR_2024_oral_55,7,2,2,4,5,5
ICLR_2024_oral_6,1,1,2,4,5,5
ICLR_2024_oral_63,2,5,5,5,5,5
ICLR_2024_oral_63,10,2,2,3,5,3
ICLR_2024_oral_64,9,4,5,5,4,5
ICLR_2024_oral_64,10,3,4,5,5,5
ICLR_2024_oral_66,4,2,5,4,4,5
ICLR_2024_oral_74,3,2,4,5,5,5
ICML_2024_oral_1,4,5,5,5,5,5
ICML_2024_oral_1,5,4,5,5,5,5
ICML_2024_oral_110,10,4,5,5,4,5
ICML_2024_oral_110,13,1,2,2,5,5
ICML_2024_oral_111,8,4,5,5,5,5
ICML_2024_oral_113,4,2,3,5,5,5
ICML_2024_oral_117,2,1,1,1,1,1
ICML_2024_oral_122,8,2,4,5,5,5
ICML_2024_oral_13,3,1,1,1,1,1
ICML_2024_oral_13,4,4,4,5,5,5
ICML_2024_oral_15,2,2,4,5,5,5
ICML_2024_oral_15,9,2,4,5,5,3
ICML_2024_oral_24,1,5,5,5,5,5
ICML_2024_oral_24,2,4,5,5,5,5
ICML_2024_oral_24,3,2,2,2,5,2
ICML_2024_oral_26,3,5,5,4,5,4
ICML_2024_oral_44,3,4,5,5,5,5
ICML_2024_oral_5,8,2,3,5,5,5
ICML_2024_oral_58,1,4,4,5,5,5
ICML_2024_oral_93,2,2,4,4,5,5
ICML_2024_oral_93,3,2,4,5,5,5
ICML_2024_oral_93,4,5,5,5,5,5
naacl_2024_short_23,2,1,1,1,1,1
naacl_2024_short_23,3,2,4,3,5,4
naacl_2024_short_26,3,3,4,5,5,5
naacl_2024_short_34,3,2,4,5,5,5
naacl_2024_short_39,2,2,3,5,5,5
naacl_2024_short_43,1,4,4,5,5,5
naacl_2024_short_43,3,5,5,5,5,5
naacl_2024_short_45,2,2,4,4,5,5
naacl_2024_short_46,3,4,4,5,5,5
naacl_2024_short_5,1,2,3,5,5,5
naacl_2024_short_52,4,5,5,4,5,5
naacl_2024_short_67,5,5,5,5,5,5
naacl_2024_short_8,2,5,5,4,5,4
neurips_2024_oral_10,7,2,3,5,5,5
neurips_2024_oral_13,1,4,4,5,4,5
neurips_2024_oral_15,6,2,4,5,5,5
neurips_2024_oral_15,10,2,4,5,4,5
neurips_2024_oral_16,2,2,4,5,5,5
neurips_2024_oral_18,4,2,4,5,4,5
neurips_2024_oral_2,1,5,5,5,5,5
neurips_2024_oral_24,3,4,4,5,5,5
neurips_2024_oral_25,8,2,4,5,5,5
neurips_2024_oral_26,1,2,4,5,5,5
neurips_2024_oral_26,4,2,3,5,5,5
neurips_2024_oral_34,11,5,5,5,5,4
neurips_2024_oral_34,12,5,5,5,5,5
neurips_2024_oral_40,11,5,2,5,5,5
neurips_2024_oral_41,4,2,4,5,5,2
neurips_2024_oral_48,3,1,1,1,1,1
neurips_2024_oral_48,7,2,5,5,5,5
neurips_2024_oral_48,10,4,5,5,5,5
neurips_2024_oral_48,13,3,4,5,5,5
neurips_2024_oral_58,2,4,4,5,5,5
neurips_2024_oral_58,4,2,4,5,5,5
neurips_2024_oral_58,7,3,3,2,3,3
neurips_2024_oral_59,3,2,2,5,5,5
neurips_2024_oral_60,3,2,3,5,5,5
neurips_2024_oral_60,6,2,3,4,5,4
neurips_2024_oral_8,3,2,3,5,5,5
neurips_2024_oral_9,2,5,5,5,5,5
neurips_2024_oral_9,7,4,5,5,4,5
