paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
2024.acl-short.12,1,0.7418,0.7049,0.7787610619469026,0.9091,0.027777777777777776,[np.float64(0.027777777777777776)]
2024.acl-short.12,2,0.7751,0.3155,0.4489795918367347,0.4,0.7555555555555555,[np.float64(0.7555555555555555)]
2024.acl-short.14,1,0.0001,0.0769,0.1223529411764706,0.1618,1.0,[1.0]
2024.acl-short.14,2,0.5555,0.6703,0.5501066098081023,0.8611,0.5,[np.float64(0.5)]
2024.acl-short.14,3,0.3761,0.3452,0.5112781954887218,0.4286,0.375,[np.float64(0.375)]
2024.acl-short.14,4,0.419,0.6111,0.7457627118644068,0.8,0.2222222222222222,[np.float64(0.2222222222222222)]
2024.acl-short.15,1,0.7678,0.1364,0.2,0.1538,1.0,[1.0]
2024.acl-short.15,2,0.7325,0.4444,0.5373134328358209,0.5263,1.0,[1.0]
2024.acl-short.15,3,0.7537,0.44,0.5294117647058824,0.5,1.0,[1.0]
2024.acl-short.15,4,0.0592,0.1875,0.29508196721311475,0.2941,0.34615384615384615,[np.float64(0.34615384615384615)]
2024.acl-short.15,5,0.2723,0.3981,0.5694444444444444,0.6316,0.0,[np.float64(0.0)]
2024.acl-short.15,6,0.2539,0.2989,0.234375,0.3684,1.0,[1.0]
2024.acl-short.15,7,0.5699,0.5077,0.4225352112676056,0.68,0.19047619047619047,"[np.float64(0.5714285714285714), np.float64(0.0), np.float64(0.0)]"
2024.acl-short.15,8,0.2983,0.2965,0.47244094488188976,0.5075,0.6666666666666666,"[np.float64(0.4), np.float64(0.8), np.float64(0.8)]"
2024.acl-short.15,9,0.8769,0.5072,0.6792452830188679,0.8,0.35294117647058826,[np.float64(0.35294117647058826)]
2024.acl-short.16,1,0.696,0.2373,0.35398230088495575,0.25,0.56,[np.float64(0.56)]
2024.acl-short.16,2,0.0272,0.1731,0.1615720524017467,0.2095,1.0,[1.0]
2024.acl-short.16,3,0.7816,0.5794,0.714975845410628,0.7273,1.0,[1.0]
2024.acl-short.20,1,0.4985,0.6977,0.8266666666666667,0.8571,0.23529411764705882,[np.float64(0.23529411764705882)]
2024.acl-short.20,2,0.6293,0.5096,0.5776173285198556,0.7857,0.85,[np.float64(0.85)]
2024.acl-short.20,3,0.5577,0.3821,0.51,0.6038,1.0,[1.0]
2024.acl-short.20,4,0.7282,0.9016,0.9322033898305084,0.8571,0.041666666666666664,"[np.float64(0.125), np.float64(0.0), np.float64(0.0)]"
2024.acl-short.20,5,0.7921,0.3103,0.42718446601941745,0.5714,1.0,[1.0]
2024.acl-short.25,1,0.0526,0.2353,0.31693989071038253,0.2222,0.875,[np.float64(0.875)]
2024.acl-short.25,2,0.3617,0.2857,0.40476190476190477,0.2727,0.9285714285714286,[np.float64(0.9285714285714286)]
2024.acl-short.25,3,0.8232,0.6269,0.7230769230769231,0.6364,0.4375,[np.float64(0.4375)]
2024.acl-short.25,4,0.9867,0.9516,0.9516129032258065,0.8421,0.0,[np.float64(0.0)]
2024.acl-short.25,5,0.2158,0.3187,0.43548387096774194,0.5455,0.7804878048780488,[np.float64(0.7804878048780488)]
2024.acl-short.3,1,0.1949,0.283,0.4810126582278481,0.4762,0.5333333333333333,[np.float64(0.5333333333333333)]
2024.acl-short.3,2,0.7324,0.2883,0.3902439024390244,0.3415,0.7391304347826086,[np.float64(0.7391304347826086)]
2024.acl-short.39,1,0.6044,0.1379,0.11764705882352941,0.0,1.0,[1.0]
2024.acl-short.39,2,0.7883,0.3158,0.45045045045045046,0.3448,0.5294117647058824,[np.float64(0.5294117647058824)]
2024.acl-short.39,3,0.67,0.625,0.7605633802816901,0.6364,0.0,[np.float64(0.0)]
2024.acl-short.40,1,0.0536,0.225,0.31683168316831684,0.3226,0.6153846153846154,[np.float64(0.6153846153846154)]
2024.acl-short.40,2,0.6585,0.7375,0.8356164383561644,0.6512,1.0,[1.0]
2024.acl-short.41,1,0.5677,0.175,0.2564102564102564,0.25,0.6923076923076923,[np.float64(0.6923076923076923)]
2024.acl-short.41,2,0.0295,0.2436,0.37254901960784315,0.2759,0.8636363636363636,[np.float64(0.8636363636363636)]
2024.acl-short.43,1,0.7749,0.7305,0.8239700374531835,0.8,0.0,[np.float64(0.0)]
2024.acl-short.43,2,1.0,1.0,1.0,1.0,1.0,[1.0]
2024.acl-short.49,1,0.0546,0.1813,0.2857142857142857,0.1852,0.8275862068965517,[np.float64(0.8275862068965517)]
2024.acl-short.49,2,0.7495,0.551,0.7272727272727273,0.6207,0.18181818181818182,[np.float64(0.18181818181818182)]
2024.acl-short.49,3,0.7703,0.303,0.4015748031496063,0.4286,0.6081081081081081,[np.float64(0.6081081081081081)]
2024.acl-short.5,1,0.006,0.1581,0.24587155963302754,0.2429,0.0,[np.float64(0.0)]
2024.acl-short.5,2,0.1612,0.3448,0.44813278008298757,0.4516,1.0,[1.0]
2024.acl-short.53,1,0.5404,0.3538,0.4,0.3636,0.8,[np.float64(0.8)]
2024.acl-short.53,2,0.7416,0.1831,0.2736842105263158,0.129,1.0,[np.float64(1.0)]
2024.acl-short.56,1,0.7281,0.3585,0.46601941747572817,0.32,1.0,[1.0]
2024.acl-short.56,2,0.0817,0.2262,0.28440366972477066,0.2609,0.6666666666666666,[np.float64(0.6666666666666666)]
2024.acl-short.57,1,0.2466,0.3478,0.52,0.5,0.43478260869565216,[np.float64(0.43478260869565216)]
2024.acl-short.57,2,1.0,1.0,1.0,1.0,0.0,[np.float64(0.0)]
2024.acl-short.57,3,0.0022,0.1487,0.25892857142857145,0.25,0.7,[np.float64(0.7)]
2024.acl-short.62,1,0.9959,0.9744,0.987012987012987,1.0,0.0,[np.float64(0.0)]
2024.acl-short.62,2,0.4345,0.5328,0.6699507389162561,0.6667,1.0,[1.0]
2024.acl-short.62,3,0.2367,0.3089,0.368,0.5047,1.0,[1.0]
2024.acl-short.62,4,0.5193,0.6544,0.7913043478260869,0.8182,1.0,[1.0]
2024.acl-short.66,1,0.7298,0.1467,0.2833333333333333,0.1765,0.7142857142857143,[np.float64(0.7142857142857143)]
2024.acl-short.66,2,0.3305,0.5079,0.6530612244897959,0.6429,0.4074074074074074,[np.float64(0.4074074074074074)]
2024.acl-short.66,3,0.8406,0.75,0.8,0.7,0.25,[np.float64(0.25)]
2024.acl-short.66,4,0.099,0.2706,0.35570469798657717,0.4,1.0,[1.0]
2024.acl-short.66,5,0.1961,0.31,0.43478260869565216,0.5455,0.7777777777777778,[np.float64(0.7777777777777778)]
2024.acl-short.66,6,0.6168,0.8788,0.9354838709677419,0.9286,1.0,[1.0]
2024.acl-short.68,1,0.5565,0.1957,0.13157894736842105,0.24,1.0,[1.0]
2024.acl-short.68,2,0.2372,0.3571,0.5172413793103449,0.6,0.125,[np.float64(0.125)]
2024.acl-short.68,3,0.4692,0.2568,0.3,0.1714,1.0,[1.0]
2024.acl-short.68,4,0.4039,0.3542,0.5569620253164557,0.4,0.7272727272727273,[np.float64(0.7272727272727273)]
2024.acl-short.68,5,0.0228,0.1773,0.23104693140794225,0.1333,1.0,[1.0]
2024.acl-short.71,1,0.5826,0.3158,0.5858585858585859,0.4167,0.8,[np.float64(0.8)]
2024.acl-short.71,2,0.4094,0.1778,0.20437956204379562,0.2286,0.5416666666666666,[np.float64(0.5416666666666666)]
2024.acl-short.71,3,0.9977,0.988,0.9939393939393939,1.0,0.0,[np.float64(0.0)]
2024.acl-short.71,4,0.7397,0.75,0.8571428571428571,0.8667,0.10810810810810811,[np.float64(0.10810810810810811)]
2024.acl-short.71,5,0.0199,0.1724,0.29411764705882354,0.4194,0.42424242424242425,[np.float64(0.42424242424242425)]
2024.acl-short.71,6,0.7912,0.6,0.7513227513227513,0.7391,0.5909090909090909,[np.float64(0.5909090909090909)]
2024.acl-short.71,7,0.3027,0.2778,0.2484472049689441,0.3429,0.7666666666666667,[np.float64(0.7666666666666667)]
2024.acl-short.71,8,0.5696,0.5733,0.6875,0.6667,1.0,[1.0]
2024.acl-short.71,9,0.8918,0.8617,0.9204545454545454,0.95,0.0,[np.float64(0.0)]
2024.acl-short.71,10,0.7478,0.9239,0.9550561797752809,0.9444,1.0,[1.0]
2024.acl-short.72,1,0.7729,0.3171,0.6216216216216216,0.4545,0.972972972972973,[np.float64(0.972972972972973)]
2024.acl-short.72,2,0.1645,0.3684,0.509090909090909,0.6154,0.875,[np.float64(0.875)]
2024.acl-short.72,3,0.8833,0.6078,0.7628865979381443,0.7097,0.0,[np.float64(0.0)]
2024.acl-short.72,4,0.849,0.4771,0.4835164835164835,0.5185,0.7058823529411765,[np.float64(0.7058823529411765)]
ICLR_2024_oral_1,1,0.7324,0.4198,0.5514950166112956,0.507,0.9090909090909091,[np.float64(0.9090909090909091)]
ICLR_2024_oral_1,2,0.2425,0.3421,0.49074074074074076,0.5357,0.9583333333333334,[np.float64(0.9583333333333334)]
ICLR_2024_oral_1,3,0.3828,0.4915,0.6515580736543909,0.6506,1.0,[1.0]
ICLR_2024_oral_1,4,0.78,0.8996,0.9041095890410958,0.972,1.0,[1.0]
ICLR_2024_oral_1,5,0.7714,0.5789,0.7333333333333333,0.7692,0.3,[np.float64(0.3)]
ICLR_2024_oral_1,6,0.765,0.3542,0.5112781954887218,0.5641,0.6666666666666666,[np.float64(0.6666666666666666)]
ICLR_2024_oral_1,7,0.768,0.6816,0.791907514450867,0.7723,1.0,[1.0]
