paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
2024.acl-short.12,1,0.8608,0.6094,0.688,0.6286,0.5714285714285714,[np.float64(0.5714285714285714)]
2024.acl-short.12,2,0.7923,0.25,0.34965034965034963,0.2963,0.6666666666666666,[np.float64(0.6666666666666666)]
2024.acl-short.14,1,0.0002,0.0872,0.13921113689095127,0.1314,1.0,[1.0]
2024.acl-short.14,2,0.0758,0.2308,0.35195530726256985,0.4404,0.5,[np.float64(0.5)]
2024.acl-short.14,3,0.3202,0.3214,0.34146341463414637,0.439,1.0,[1.0]
2024.acl-short.14,4,0.553,0.5,0.6176470588235294,0.625,0.2222222222222222,[np.float64(0.2222222222222222)]
2024.acl-short.15,1,0.5488,0.2222,0.30303030303030304,0.3636,1.0,[1.0]
2024.acl-short.15,2,0.7858,0.2561,0.4247787610619469,0.4667,0.8421052631578947,[np.float64(0.8421052631578947)]
2024.acl-short.15,3,0.6506,0.7049,0.7758620689655172,0.7097,1.0,[1.0]
2024.acl-short.15,4,0.1182,0.2708,0.3969465648854962,0.4444,0.3,[np.float64(0.3)]
2024.acl-short.15,5,0.273,0.3883,0.5594405594405595,0.6316,0.0,[np.float64(0.0)]
2024.acl-short.15,6,0.0973,0.2184,0.3508771929824561,0.3636,0.18181818181818182,[np.float64(0.18181818181818182)]
2024.acl-short.15,7,0.7729,0.3308,0.4603174603174603,0.5806,0.88,[np.float64(0.88)]
2024.acl-short.15,8,0.4988,0.5581,0.7128712871287128,0.6579,0.5333333333333333,"[np.float64(0.0), np.float64(0.8), np.float64(0.8)]"
2024.acl-short.15,9,0.7635,0.4545,0.631578947368421,0.7742,0.35294117647058826,[np.float64(0.35294117647058826)]
2024.acl-short.16,1,0.7557,0.17,0.2077922077922078,0.2,0.5862068965517241,[np.float64(0.5862068965517241)]
2024.acl-short.16,2,0.0243,0.1538,0.1461187214611872,0.2286,1.0,[1.0]
2024.acl-short.16,3,0.7225,0.39,0.32323232323232326,0.6866,1.0,[1.0]
2024.acl-short.20,1,0.8717,0.6957,0.7865168539325843,0.8485,0.11764705882352941,[np.float64(0.11764705882352941)]
2024.acl-short.20,2,0.5878,0.5223,0.5650557620817844,0.7317,0.6285714285714286,[np.float64(0.6285714285714286)]
2024.acl-short.20,3,0.4073,0.2683,0.23115577889447236,0.2353,1.0,[1.0]
